node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,level_set,umap_1,umap_2
5477,3,41,16432,13,41,1,1,41,2,1,41,3.949941,3.940879
5478,1,41,12328,13,41,1,1,41,2,1,41,3.5227265,4.2701654
5479,52,191,399976,13,191,1,1,-1,2,1,-1,5.5145345,5.1563067
5480,1,129,9232,13,129,1,1,129,2,1,129,3.9043338,5.668666
5481,3,41,41632,13,41,1,1,41,2,1,41,2.9140494,5.9976916
5482,1,129,9232,13,129,2,1,129,3,2,129,4.475187,5.737939
5483,8,116,24676,13,116,1,1,116,2,1,116,6.438039,4.821921
5484,1,116,10420,13,116,1,1,116,2,1,116,3.15294,6.394296
5485,3,116,16456,13,116,1,1,116,2,1,116,3.1822233,6.056174
5486,1,116,18520,13,116,1,1,116,2,1,116,3.4929676,6.0803604
5487,16,54,62512,13,54,1,1,-1,2,1,-1,4.589972,2.72879
5488,1,129,9232,13,129,2,1,129,3,2,129,4.5362744,4.4109545
5489,3,129,16468,13,129,1,1,129,2,1,129,4.1502604,5.8312316
5490,1,41,9268,13,41,1,1,41,2,1,41,4.2614675,5.5281568
5491,6,41,24712,13,41,1,1,41,2,1,41,5.217534,5.667122
5492,1,129,9232,13,129,1,1,129,2,1,129,5.306192,5.446953
5493,3,129,16480,13,129,1,1,129,2,1,129,5.401358,5.545086
5494,1,67,13912,13,67,2,1,67,3,2,67,5.2267036,7.072068
5495,8,67,37096,13,67,1,1,67,2,1,67,3.7676904,3.8689775
5496,1,41,6964,13,41,1,1,41,2,1,41,3.8518395,5.744898
5497,3,98,70468,13,98,1,1,-1,2,1,-1,5.477266,3.7632082
5498,1,41,8248,13,41,1,1,41,2,1,41,5.6426077,3.8974557
5499,13,67,27844,13,67,1,1,67,2,1,67,5.7729244,6.90893
5500,1,41,20896,13,41,2,1,41,3,2,41,6.3631773,4.0650835
5501,3,41,20896,13,41,1,1,41,2,1,41,4.949867,4.0052037
5502,1,173,225988,13,173,1,1,-1,2,1,-1,4.3517213,4.8679414
5503,70,173,225988,13,173,1,1,-1,2,1,-1,4.5339155,6.3108053
5504,1,36,5504,13,36,1,1,36,2,1,36,3.938344,4.4663734
5505,3,191,190996,13,191,1,1,-1,2,1,-1,3.482197,4.8005304
5506,1,129,9232,13,129,2,1,129,3,2,129,6.449347,4.037574
5507,6,129,24784,13,129,1,1,129,2,1,129,5.8363695,5.7765536
