algorithm,param_name,param_value,n_clusters,n_noise,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,n_fitted,n_metric_rows
KMeans,n_clusters,2,2,0,0.0,0.005335461348295212,536.6199842256094,13.650746243127333,100000,10000
KMeans,n_clusters,3,3,0,0.0,0.004524700343608856,457.89229767831864,12.083516429631208,100000,10000
KMeans,n_clusters,4,4,0,0.0,0.004294564016163349,404.18762571045283,11.13455435705415,100000,10000
KMeans,n_clusters,5,5,0,0.0,0.00411363085731864,364.6944192144307,10.517326699359652,100000,10000
KMeans,n_clusters,6,6,0,0.0,0.004100037273019552,334.4747007329941,10.023610916808211,100000,10000
KMeans,n_clusters,7,7,0,0.0,0.004085737280547619,309.85923299301345,9.670369017826557,100000,10000
KMeans,n_clusters,8,8,0,0.0,0.004039444960653782,289.3340819761636,9.371048181395512,100000,10000
KMeans,n_clusters,9,9,0,0.0,0.003989758435636759,272.1724252402074,9.124932021295734,100000,10000
KMeans,n_clusters,10,10,0,0.0,0.004071556031703949,257.0038848155691,8.918047527765754,100000,10000
KMeans,n_clusters,11,11,0,0.0,0.004043312277644873,244.48859631486042,8.717472595472175,100000,10000
KMeans,n_clusters,12,12,0,0.0,0.004036620259284973,233.451399789199,8.537207571125345,100000,10000
KMeans,n_clusters,13,13,0,0.0,0.003990014083683491,222.5842137374001,8.447156045311978,100000,10000
KMeans,n_clusters,14,14,0,0.0,0.0039529637433588505,213.4370540553232,8.302648439924294,100000,10000
KMeans,n_clusters,15,15,0,0.0,0.003931285813450813,205.29484764699822,8.18784337741014,100000,10000
