cluster,cluster_size,property,mean,std,median,iqr,min,max
0,50126,stopping_time,5.139428639827634,10.087470588125738,1.0,2.0,1.0,210.0
0,50126,total_stopping_time,107.53630850257352,51.388155805852264,99.0,81.0,2.0,350.0
0,50126,maximum_excursion,614758.6781311096,7298270.6151845865,146500.0,261647.0,4.0,720170836.0
0,50126,binary_length,15.687228184973867,1.4898234604620713,16.0,2.0,2.0,17.0
0,50126,level_set,34.388899972070384,51.53464185395229,-1.0,63.0,-1.0,202.0
0,50126,distance_from_root,34.388899972070384,51.53464185395229,-1.0,63.0,-1.0,202.0
0,50126,in_degree,0.6652635358895583,0.623369786602526,1.0,1.0,0.0,2.0
0,50126,ancestor_count,1.665283485616247,0.6234285006581725,2.0,1.0,1.0,4.0
1,49874,stopping_time,5.2791434414725105,10.557773016087515,3.0,5.0,0.0,220.0
1,49874,total_stopping_time,107.54050206520431,51.34304321028821,99.0,81.0,0.0,337.0
1,49874,maximum_excursion,645919.589505554,9366566.507477263,146356.0,264733.0,1.0,1570824736.0
1,49874,binary_length,15.691703091791315,1.4842993157796378,16.0,2.0,1.0,17.0
1,49874,level_set,34.403717367766774,51.39567239731136,-1.0,64.0,-1.0,201.0
1,49874,distance_from_root,34.403717367766774,51.39567239731136,-1.0,64.0,-1.0,201.0
1,49874,in_degree,0.6680835705979067,0.6238347669784946,1.0,1.0,0.0,2.0
1,49874,ancestor_count,1.6681637727072223,0.6240059735874924,2.0,1.0,1.0,4.0
