property,anova_f_stat,anova_p_val,kruskal_h_stat,kruskal_p_val,mutual_info,algorithm
stopping_time,4.577811396927301,0.0323909709978313,0.9801558443786277,0.3221603337263519,0.0029080308789550813,KMeans (k=2)
total_stopping_time,0.00016662841542969544,0.9897008484925053,0.0001671287048825135,0.9896853739314412,0.0,KMeans (k=2)
maximum_excursion,0.34453680348541826,0.5572234511237839,0.003123130847826412,0.9554334373635659,0.0007330976411255019,KMeans (k=2)
binary_length,0.22637746849721513,0.6342240275772401,0.01160551201326048,0.9142107583249206,0.001542039782777671,KMeans (k=2)
level_set,0.0020722491464179997,0.9636913597273469,0.09098320272987594,0.7629309184347797,0.001088401141345674,KMeans (k=2)
distance_from_root,0.0020722491464179997,0.9636913597273469,0.09098320272987594,0.7629309184347797,0.001088401141345674,KMeans (k=2)
in_degree,0.511237665743963,0.4746052395918284,0.5083789105108578,0.4758414566015837,0.0034915799159698224,KMeans (k=2)
ancestor_count,0.5331207029522912,0.4652995085239813,0.5193319686961684,0.4711267842979945,0.0034334775640736392,KMeans (k=2)
stopping_time,0.3042071125163056,0.582094321176983,2.48410357672592,0.11500185506612588,0.0,HDBSCAN (mcs=30)
total_stopping_time,0.08006729954686354,0.7776042989904852,0.029113505990828258,0.8645172210235994,0.03902737490385011,HDBSCAN (mcs=30)
maximum_excursion,0.21682952287596546,0.642155516785164,0.16292995337913882,0.6864731816061849,0.0,HDBSCAN (mcs=30)
binary_length,4.119141092849343,0.04420478560747474,3.5919003376902365,0.05806181206956544,0.006047646224101255,HDBSCAN (mcs=30)
level_set,0.006312701582416662,0.9367807608450489,0.00029647558886608224,0.9862623302303627,0.0,HDBSCAN (mcs=30)
distance_from_root,0.006312701582416662,0.9367807608450489,0.00029647558886608224,0.9862623302303627,0.0,HDBSCAN (mcs=30)
in_degree,2.258743437305317,0.13500708461892036,2.313675989689478,0.12824045365945191,0.0,HDBSCAN (mcs=30)
ancestor_count,2.2587434373053177,0.1350070846189203,2.313675989689478,0.12824045365945191,0.0,HDBSCAN (mcs=30)
