algorithm,param_name,param_value,n_clusters,n_noise,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,n_fitted,n_metric_rows,eps,min_samples
KMeans,n_clusters,2,2,0,0.0,0.005223361775279045,537.0398474237732,13.645440090704465,100000,10000,,
KMeans,n_clusters,3,3,0,0.0,0.004620046354830265,458.16573160309133,12.081540144544668,100000,10000,,
KMeans,n_clusters,4,4,0,0.0,0.004325977526605129,404.9960169056912,11.13383297004245,100000,10000,,
KMeans,n_clusters,5,5,0,0.0,0.00427206140011549,365.4173543312442,10.493397056712917,100000,10000,,
KMeans,n_clusters,6,6,0,0.0,0.004144544247537851,334.56575647067876,10.036055716386665,100000,10000,,
KMeans,n_clusters,7,7,0,0.0,0.00406937301158905,309.91155903761137,9.682801679182418,100000,10000,,
KMeans,n_clusters,8,8,0,0.0,0.004040888044983149,290.0217229707173,9.336120481966592,100000,10000,,
KMeans,n_clusters,9,9,0,0.0,0.003985632210969925,272.3494305132776,9.113570457898858,100000,10000,,
KMeans,n_clusters,10,10,0,0.0,0.003999261651188135,256.8711569594831,8.907738892019193,100000,10000,,
KMeans,n_clusters,11,11,0,0.0,0.003973666578531265,244.15363635600693,8.723180323046751,100000,10000,,
KMeans,n_clusters,12,12,0,0.0,0.003932315856218338,232.96231991093396,8.55637352886025,100000,10000,,
KMeans,n_clusters,13,13,0,0.0,0.003972698003053665,222.5413989259236,8.418527292374222,100000,10000,,
KMeans,n_clusters,14,14,0,0.0,0.003944456577301025,213.762552926802,8.28490914094743,100000,10000,,
KMeans,n_clusters,15,15,0,0.0,0.003993998747318983,205.26974088781105,8.168054529412638,100000,10000,,
DBSCAN,eps_min_samples,eps_0.05_ms_5,0,10000,1.0,,,,10000,10000,0.05,5.0
DBSCAN,eps_min_samples,eps_0.05_ms_10,0,10000,1.0,,,,10000,10000,0.05,10.0
DBSCAN,eps_min_samples,eps_0.05_ms_15,0,10000,1.0,,,,10000,10000,0.05,15.0
DBSCAN,eps_min_samples,eps_0.05_ms_30,0,10000,1.0,,,,10000,10000,0.05,30.0
DBSCAN,eps_min_samples,eps_0.1_ms_5,0,10000,1.0,,,,10000,10000,0.1,5.0
DBSCAN,eps_min_samples,eps_0.1_ms_10,0,10000,1.0,,,,10000,10000,0.1,10.0
DBSCAN,eps_min_samples,eps_0.1_ms_15,0,10000,1.0,,,,10000,10000,0.1,15.0
