node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,level_set,umap_1,umap_2
1,0,0,1,1,0,1,1,0,4,1,0,4.512944,4.712484
2,1,1,2,2,1,1,1,1,4,1,1,5.1664553,4.658389
3,6,7,16,2,7,1,1,7,2,1,7,6.2789006,4.244573
4,1,2,4,3,2,2,1,2,4,2,2,4.696536,2.986257
5,3,5,16,3,5,1,1,5,2,1,5,5.916236,5.5128455
6,1,8,16,3,8,1,1,8,2,1,8,4.19484,5.4815035
7,11,16,52,3,16,1,1,16,2,1,16,4.2037244,4.7234178
8,1,3,8,4,3,1,1,3,2,1,3,5.3330984,5.208137
9,3,19,52,4,19,1,1,19,2,1,19,5.092211,4.9739237
10,1,6,16,4,6,2,1,6,3,2,6,3.5244997,3.8927374
11,8,14,52,4,14,1,1,14,2,1,14,6.0811515,4.523889
12,1,9,16,4,9,1,1,9,2,1,9,3.900011,3.4778109
13,3,9,40,4,9,1,1,9,2,1,9,5.739929,4.0704494
14,1,17,52,4,17,1,1,17,2,1,17,5.8745184,4.836718
15,11,17,160,4,17,1,1,17,2,1,17,5.1758847,4.5662417
16,1,4,16,5,4,2,1,4,3,2,4,5.8418884,6.938824
17,3,12,52,5,12,1,1,12,2,1,12,4.612456,5.3018603
18,1,20,52,5,20,1,1,20,2,1,20,6.5444646,6.530201
19,6,20,88,5,20,1,1,20,2,1,20,4.3997016,5.368702
20,1,7,20,5,7,1,1,7,2,1,7,4.893961,4.2045555
21,3,7,64,5,7,1,1,7,2,1,7,5.7507434,4.64224
22,1,15,52,5,15,2,1,15,3,2,15,4.046774,7.032755
23,8,15,160,5,15,1,1,15,2,1,15,5.763435,5.848619
24,1,10,24,5,10,1,1,10,2,1,10,4.1815133,3.5748258
25,3,23,88,5,23,1,1,23,2,1,23,3.199155,5.458303
26,1,10,40,5,10,1,1,10,2,1,10,4.5897307,5.4800315
27,96,111,9232,5,111,1,1,111,2,1,111,6.3312607,5.121425
28,1,18,52,5,18,2,1,18,3,2,18,4.853169,6.7325277
29,3,18,88,5,18,1,1,18,2,1,18,5.1632113,3.7838159
30,1,18,160,5,18,1,1,18,2,1,18,3.6775231,5.3620667
31,91,106,9232,5,106,1,1,106,2,1,106,5.117377,6.477776
32,1,5,32,6,5,1,1,5,2,1,5,3.7518137,6.062994
33,3,26,100,6,26,1,1,26,2,1,26,4.2411885,5.821398
34,1,13,52,6,13,2,1,13,3,2,13,6.064593,5.450972
35,6,13,160,6,13,1,1,13,2,1,13,2.9329603,5.079818
36,1,21,52,6,21,1,1,21,2,1,21,6.501318,5.948798
37,3,21,112,6,21,1,1,21,2,1,21,4.953357,6.4126544
38,1,21,88,6,21,1,1,21,2,1,21,3.419572,3.906976
39,13,34,304,6,34,1,1,34,2,1,34,6.8731637,3.826407
40,1,8,40,6,8,2,1,8,3,2,8,5.854661,3.6949515
41,3,109,9232,6,109,1,1,109,2,1,109,5.095656,4.032954
42,1,8,64,6,8,1,1,8,2,1,8,5.5283966,4.895484
43,8,29,196,6,29,1,1,29,2,1,29,6.3000646,5.474022
44,1,16,52,6,16,1,1,16,2,1,16,5.7148957,5.5659757
45,3,16,136,6,16,1,1,16,2,1,16,4.9982543,6.407648
46,1,16,160,6,16,2,1,16,3,2,16,4.81319,4.604974
47,88,104,9232,6,104,1,1,104,2,1,104,2.8032002,5.4409294
48,1,11,48,6,11,1,1,11,2,1,11,3.0093277,5.35566
49,3,24,148,6,24,1,1,24,2,1,24,4.9681478,3.4886913
50,1,24,88,6,24,1,1,24,2,1,24,4.6683044,4.148239
51,6,24,232,6,24,1,1,24,2,1,24,4.8531528,4.1390758
52,1,11,52,6,11,2,1,11,3,2,11,4.6687202,5.812821
53,3,11,160,6,11,1,1,11,2,1,11,4.164437,5.766517
54,1,112,9232,6,112,1,1,112,2,1,112,3.5567589,3.7644212
55,8,112,9232,6,112,1,1,112,2,1,112,4.498218,5.561947
56,1,19,56,6,19,1,1,19,2,1,19,6.088779,3.989313
57,3,32,196,6,32,1,1,32,2,1,32,5.5432863,4.1080933
58,1,19,88,6,19,2,1,19,3,2,19,6.360352,3.023778
59,11,32,304,6,32,1,1,32,2,1,32,6.3363614,4.6938653
60,1,19,160,6,19,1,1,19,2,1,19,4.4196863,2.8184779
61,3,19,184,6,19,1,1,19,2,1,19,3.27095,3.8295152
62,1,107,9232,6,107,1,1,107,2,1,107,5.498359,5.845289
63,88,107,9232,6,107,1,1,107,2,1,107,6.835,4.8595524
64,1,6,64,7,6,2,1,6,3,2,6,5.3194203,4.1727457
65,3,27,196,7,27,1,1,27,2,1,27,4.0006685,4.8532944
66,1,27,100,7,27,1,1,27,2,1,27,4.7771916,3.013164
67,6,27,304,7,27,1,1,27,2,1,27,6.0047827,5.3199353
68,1,14,68,7,14,1,1,14,2,1,14,4.8669806,6.374293
69,3,14,208,7,14,1,1,14,2,1,14,5.994872,5.155885
70,1,14,160,7,14,2,1,14,3,2,14,3.9613595,5.4775786
71,83,102,9232,7,102,1,1,102,2,1,102,5.650474,5.1144614
72,1,22,72,7,22,1,1,22,2,1,22,5.530683,6.9472013
73,3,115,9232,7,115,1,1,115,2,1,115,4.3639107,7.023048
