target_property,model_name,dimension,importance
stopping_time,RandomForest,0,0.005985374474515155
stopping_time,RandomForest,1,0.007487986066737046
stopping_time,RandomForest,2,0.0059458627337214175
stopping_time,RandomForest,3,0.006737739968886318
stopping_time,RandomForest,4,0.0069693273432645505
stopping_time,RandomForest,5,0.00607779651570016
stopping_time,RandomForest,6,0.008734128457116382
stopping_time,RandomForest,7,0.010005330647331055
stopping_time,RandomForest,8,0.008046642861256203
stopping_time,RandomForest,9,0.0063784836279202365
stopping_time,RandomForest,10,0.008675982835878561
stopping_time,RandomForest,11,0.007839269302536233
stopping_time,RandomForest,12,0.00805996494348872
stopping_time,RandomForest,13,0.010187508617134395
stopping_time,RandomForest,14,0.007003272150566078
stopping_time,RandomForest,15,0.007232844835110893
stopping_time,RandomForest,16,0.006185207692658653
stopping_time,RandomForest,17,0.007766354761870521
stopping_time,RandomForest,18,0.008072026136185543
stopping_time,RandomForest,19,0.008003737127311878
stopping_time,RandomForest,20,0.007514763014309522
stopping_time,RandomForest,21,0.008347520575058226
stopping_time,RandomForest,22,0.006394977885623983
stopping_time,RandomForest,23,0.006379434746549339
stopping_time,RandomForest,24,0.007997633653396312
stopping_time,RandomForest,25,0.008867348239274502
stopping_time,RandomForest,26,0.006383785205064044
stopping_time,RandomForest,27,0.006215641349375675
stopping_time,RandomForest,28,0.007293420428206908
stopping_time,RandomForest,29,0.006711079581696716
stopping_time,RandomForest,30,0.007418102941496421
stopping_time,RandomForest,31,0.005845192465165083
stopping_time,RandomForest,32,0.008473448042140857
stopping_time,RandomForest,33,0.007066400185005553
stopping_time,RandomForest,34,0.006683651831271662
stopping_time,RandomForest,35,0.00919279907013975
stopping_time,RandomForest,36,0.00859073649586563
stopping_time,RandomForest,37,0.006813682625991753
stopping_time,RandomForest,38,0.007021220391629853
stopping_time,RandomForest,39,0.007703371559551391
stopping_time,RandomForest,40,0.006569741698131157
stopping_time,RandomForest,41,0.007023043569589903
stopping_time,RandomForest,42,0.007126667884948062
stopping_time,RandomForest,43,0.009522799069642993
stopping_time,RandomForest,44,0.006994612813966509
stopping_time,RandomForest,45,0.00786210230686112
stopping_time,RandomForest,46,0.005294910829893772
stopping_time,RandomForest,47,0.008790187921958884
stopping_time,RandomForest,48,0.005028175851945726
stopping_time,RandomForest,49,0.01205656431909361
stopping_time,RandomForest,50,0.00995910457526142
stopping_time,RandomForest,51,0.007242032755993807
stopping_time,RandomForest,52,0.008364991926323156
stopping_time,RandomForest,53,0.006145061039817129
stopping_time,RandomForest,54,0.006376577165337489
stopping_time,RandomForest,55,0.007062870435420206
stopping_time,RandomForest,56,0.008449265189309272
stopping_time,RandomForest,57,0.006077164806068833
stopping_time,RandomForest,58,0.008474672482913123
stopping_time,RandomForest,59,0.009297213051085279
stopping_time,RandomForest,60,0.005548089706440106
stopping_time,RandomForest,61,0.0068970361457828845
stopping_time,RandomForest,62,0.00844139690446979
stopping_time,RandomForest,63,0.008588442625026711
stopping_time,RandomForest,64,0.0109116010694162
stopping_time,RandomForest,65,0.008108714337069646
stopping_time,RandomForest,66,0.00866292954729122
stopping_time,RandomForest,67,0.007466747776495424
stopping_time,RandomForest,68,0.010504448449208273
stopping_time,RandomForest,69,0.007217389752978694
stopping_time,RandomForest,70,0.006397772892036147
stopping_time,RandomForest,71,0.00686303588775642
stopping_time,RandomForest,72,0.006152288544401876
stopping_time,RandomForest,73,0.0072128513532597575
stopping_time,RandomForest,74,0.008334654833536051
stopping_time,RandomForest,75,0.0054176060917494814
stopping_time,RandomForest,76,0.009368254588883719
stopping_time,RandomForest,77,0.0066898164264883415
stopping_time,RandomForest,78,0.005827306796192244
stopping_time,RandomForest,79,0.00912858822331235
stopping_time,RandomForest,80,0.014819745714348777
stopping_time,RandomForest,81,0.005521148766057675
stopping_time,RandomForest,82,0.008229579008625696
stopping_time,RandomForest,83,0.006754118147763774
stopping_time,RandomForest,84,0.0070315871919899575
stopping_time,RandomForest,85,0.007733399202256491
stopping_time,RandomForest,86,0.008686242866384745
stopping_time,RandomForest,87,0.010364890053522176
stopping_time,RandomForest,88,0.006492519326202993
stopping_time,RandomForest,89,0.0071549045679267275
stopping_time,RandomForest,90,0.010604524960453365
stopping_time,RandomForest,91,0.0070907141414801355
stopping_time,RandomForest,92,0.006840491567306583
stopping_time,RandomForest,93,0.01108439408957488
stopping_time,RandomForest,94,0.008661425189033957
stopping_time,RandomForest,95,0.008116854410320853
stopping_time,RandomForest,96,0.007325961519486511
stopping_time,RandomForest,97,0.009542075507301661
stopping_time,RandomForest,98,0.010497302521523049
stopping_time,RandomForest,99,0.009098950439947205
stopping_time,RandomForest,100,0.012544141508768347
stopping_time,RandomForest,101,0.007214111546158514
stopping_time,RandomForest,102,0.006358784552847043
