target_property,model_name,is_log_transformed,r2_mean,r2_std,r2_oof,mae_mean,mae_std,mae_oof,rmse_mean,rmse_std,rmse_oof,accuracy_exact,accuracy_pm1,accuracy_pm2
stopping_time,RandomForest,False,-0.003681853782880736,0.00046591486211865505,-0.003660206250730047,5.324733241614268,0.02388786463775245,5.3247329805949235,10.343169764703676,0.11624509399566621,10.343822181851216,0.01011,0.03409,0.17885
stopping_time,XGBoost,False,-0.03279198827350386,0.0022710029026469787,-0.03272519609326685,5.437181095516468,0.016074206511019398,5.437180890427828,10.491972193746689,0.10792697724555222,10.492526624424212,0.02623,0.07444,0.21124
stopping_time,LightGBM,False,-0.014457934570414851,0.0028941502493353187,-0.01443453169325748,5.360710983931653,0.02287647152754548,5.360710743020403,10.398532331832529,0.11741829413803258,10.39919460861418,0.01523,0.04958,0.20438
maximum_excursion,RandomForest,True,-0.002859805841741355,0.0001839587681951945,-0.0028499317984271855,0.4803598209242146,0.0023203251538685098,0.4803597970367481,0.6388341894453422,0.002605241141986044,0.638839467285729,0.05454,0.05454,0.12933
maximum_excursion,XGBoost,True,-0.02481406488413218,0.0019402932350395486,-0.024817922429648753,0.4865223765926013,0.002739619551537634,0.4865223459762339,0.6457908208805409,0.003184996134255335,0.6457986311919324,0.0548,0.0548,0.13323
maximum_excursion,LightGBM,True,-0.0076889948583251195,0.00035076820349872644,-0.0076798484372520015,0.48175570867367684,0.0024618968575739865,0.4817556827049506,0.6403705847534453,0.0026433190661348223,0.640376005832236,0.05445,0.05445,0.1308
binary_length,RandomForest,False,-0.002605618731533088,0.00044334208411452724,-0.0025789411057481892,1.1073348132443195,0.005811001738007666,1.1073348000711798,1.4889582248400028,0.009566904942598844,1.4889888984948492,0.32479,0.49149,0.91806
binary_length,XGBoost,False,-0.02484777119341001,0.0011032102152389138,-0.02480421534282473,1.111544261119634,0.005847162948296898,1.1115442435264586,1.50537726015954,0.008720629878926644,1.5054024630888003,0.2961,0.49961,0.90994
binary_length,LightGBM,False,-0.00918956768249394,0.0005802603260474279,-0.009159196319538099,1.107706263444381,0.005912732541060009,1.1077062481798434,1.4938377732062442,0.009396664150660967,1.4938672688408765,0.31018,0.49173,0.91772
level_set,RandomForest,False,-0.0030455218448275367,0.0004310487017366096,-0.003019782826561901,43.077394052017496,0.1036352302531809,43.07739279882283,51.542851960004135,0.1354828737126361,51.543028225266305,0.00309,0.00643,0.01216
level_set,XGBoost,False,-0.025268358314198307,0.0013118269717721455,-0.025234823709376686,43.31831741840464,0.07563362539889777,43.318316433806416,52.11059769561658,0.100788581124727,52.110693825259226,0.00278,0.00568,0.01173
level_set,LightGBM,False,-0.008065960863290774,0.0006998617341566831,-0.008041046747929492,43.14700642424287,0.12630259183671172,43.14700472696549,51.67169234967681,0.1411098136274165,51.671883133749006,0.00305,0.00597,0.01208
