target_property,model_name,is_log_transformed,r2_mean,r2_std,r2_oof,mae_mean,mae_std,mae_oof,rmse_mean,rmse_std,rmse_oof,accuracy_exact,accuracy_pm1,accuracy_pm2
stopping_time,RandomForest,False,-0.04606382545555236,0.0024891041109005893,-0.045958343422106473,5.708893400000001,0.042987390781949235,5.7088934,10.447184326545297,0.298855779911132,10.451458038474824,0.02878,0.06836,0.1739
maximum_excursion,RandomForest,True,-0.015667289481946556,0.0017770187022096613,-0.01559740249146202,0.482757311292771,0.0021163491731167974,0.482757311292771,0.6374639462998741,0.0046464323003561825,0.6374808798429414,0.0539,0.0539,0.13226
binary_length,RandomForest,False,-0.019831127635003075,0.004766133041508547,-0.019623409358249466,1.12925,0.007375675887672969,1.12925,1.5007937185754643,0.014675635741942418,1.500865470320375,0.28976,0.49274,0.91576
level_set,RandomForest,False,-0.017073633633486907,0.0016999505966036458,-0.01701931714019178,41.1583692,0.14607272674034893,41.1583692,49.57185934498462,0.2150873707623516,49.57232596415061,0.00348,0.00734,0.0152
