node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,level_set,umap_1,umap_2
1,0,0,1,1,0,1,1,0,4,1,0,6.4567904,5.010637
2,1,1,2,2,1,1,1,1,4,1,1,3.6138635,4.425684
3,6,7,16,2,7,1,1,7,2,1,7,5.779131,4.1502066
4,1,2,4,3,2,2,1,2,4,2,2,4.113898,5.004205
5,3,5,16,3,5,1,1,5,2,1,5,4.8050656,4.318307
6,1,8,16,3,8,1,1,8,2,1,8,5.4079003,4.9933286
7,11,16,52,3,16,1,1,16,2,1,16,3.328184,5.580055
8,1,3,8,4,3,1,1,3,2,1,3,4.3812633,4.489992
9,3,19,52,4,19,1,1,19,2,1,19,4.1304893,5.468083
10,1,6,16,4,6,2,1,6,3,2,6,6.1300364,5.1143417
11,8,14,52,4,14,1,1,14,2,1,14,5.754172,4.490681
12,1,9,16,4,9,1,1,9,2,1,9,3.8377604,3.317829
13,3,9,40,4,9,1,1,9,2,1,9,4.2889113,4.8167067
14,1,17,52,4,17,1,1,17,2,1,17,6.4246774,6.12171
15,11,17,160,4,17,1,1,17,2,1,17,5.1733007,6.268535
16,1,4,16,5,4,2,1,4,3,2,4,3.3543422,4.9215775
17,3,12,52,5,12,1,1,12,2,1,12,5.290832,4.766953
18,1,20,52,5,20,1,1,20,2,1,20,4.9311333,3.8686795
19,6,20,88,5,20,1,1,20,2,1,20,6.568667,4.2524266
20,1,7,20,5,7,1,1,7,2,1,7,3.666302,6.0171027
21,3,7,64,5,7,1,1,7,2,1,7,6.108864,7.0569506
22,1,15,52,5,15,2,1,15,3,2,15,3.4399254,4.5193534
23,8,15,160,5,15,1,1,15,2,1,15,5.2004128,5.490643
24,1,10,24,5,10,1,1,10,2,1,10,4.1299934,5.5001755
25,3,23,88,5,23,1,1,23,2,1,23,5.984864,6.0565186
26,1,10,40,5,10,1,1,10,2,1,10,4.5729294,6.3113184
27,96,111,9232,5,111,1,1,111,2,1,111,7.5868526,5.3062263
28,1,18,52,5,18,2,1,18,3,2,18,5.2788115,6.602693
29,3,18,88,5,18,1,1,18,2,1,18,4.759378,3.9012096
30,1,18,160,5,18,1,1,18,2,1,18,6.3574996,3.8066971
31,91,106,9232,5,106,1,1,106,2,1,106,5.986914,3.529985
32,1,5,32,6,5,1,1,5,2,1,5,5.151563,7.4524603
33,3,26,100,6,26,1,1,26,2,1,26,6.3121433,5.491784
34,1,13,52,6,13,2,1,13,3,2,13,5.84468,7.444327
35,6,13,160,6,13,1,1,13,2,1,13,6.0567675,6.3920274
36,1,21,52,6,21,1,1,21,2,1,21,3.3873525,4.645181
37,3,21,112,6,21,1,1,21,2,1,21,6.932655,5.55016
38,1,21,88,6,21,1,1,21,2,1,21,4.0262623,5.6799664
39,13,34,304,6,34,1,1,34,2,1,34,5.043027,5.9993496
40,1,8,40,6,8,2,1,8,3,2,8,6.771492,4.921759
41,3,109,9232,6,109,1,1,109,2,1,109,4.6248045,7.116674
42,1,8,64,6,8,1,1,8,2,1,8,5.57848,6.2676797
43,8,29,196,6,29,1,1,29,2,1,29,4.1030316,4.008827
44,1,16,52,6,16,1,1,16,2,1,16,5.0957155,4.8550444
45,3,16,136,6,16,1,1,16,2,1,16,4.1862726,5.980886
46,1,16,160,6,16,2,1,16,3,2,16,5.3776627,5.3309064
47,88,104,9232,6,104,1,1,104,2,1,104,5.628998,5.4669476
48,1,11,48,6,11,1,1,11,2,1,11,7.079693,4.136636
49,3,24,148,6,24,1,1,24,2,1,24,3.8787613,4.342829
50,1,24,88,6,24,1,1,24,2,1,24,7.080394,4.6091537
51,6,24,232,6,24,1,1,24,2,1,24,5.2210736,3.1212893
52,1,11,52,6,11,2,1,11,3,2,11,5.5003266,3.1015902
53,3,11,160,6,11,1,1,11,2,1,11,6.12465,4.6978464
54,1,112,9232,6,112,1,1,112,2,1,112,4.283556,6.709577
55,8,112,9232,6,112,1,1,112,2,1,112,5.9037123,4.4263825
56,1,19,56,6,19,1,1,19,2,1,19,4.7339067,4.7425747
57,3,32,196,6,32,1,1,32,2,1,32,5.652099,2.9421127
58,1,19,88,6,19,2,1,19,3,2,19,3.4626217,6.6975884
59,11,32,304,6,32,1,1,32,2,1,32,3.6891956,4.221661
60,1,19,160,6,19,1,1,19,2,1,19,5.1156774,6.409574
61,3,19,184,6,19,1,1,19,2,1,19,5.780771,5.602937
62,1,107,9232,6,107,1,1,107,2,1,107,5.9770794,5.358944
63,88,107,9232,6,107,1,1,107,2,1,107,6.717162,5.238928
64,1,6,64,7,6,2,1,6,3,2,6,4.3342147,7.0000496
65,3,27,196,7,27,1,1,27,2,1,27,3.7345588,3.4330904
66,1,27,100,7,27,1,1,27,2,1,27,3.9227662,5.1019964
67,6,27,304,7,27,1,1,27,2,1,27,7.088887,5.7860203
68,1,14,68,7,14,1,1,14,2,1,14,6.9785075,4.4004025
69,3,14,208,7,14,1,1,14,2,1,14,5.748975,5.0641327
70,1,14,160,7,14,2,1,14,3,2,14,5.406543,3.2227437
71,83,102,9232,7,102,1,1,102,2,1,102,5.929205,5.1675515
72,1,22,72,7,22,1,1,22,2,1,22,4.8202767,3.4256158
73,3,115,9232,7,115,1,1,115,2,1,115,5.0215926,5.3183866
74,1,22,112,7,22,1,1,22,2,1,22,5.293758,5.527309
75,8,14,340,7,14,1,1,14,2,1,14,4.4719343,4.1124654
76,1,22,88,7,22,2,1,22,3,2,22,4.3969073,5.2393527
77,3,22,232,7,22,1,1,22,2,1,22,4.7331877,5.886881
78,1,35,304,7,35,1,1,35,2,1,35,5.9621115,4.086374
79,13,35,808,7,35,1,1,35,2,1,35,6.065077,4.7275114
80,1,9,80,7,9,1,1,9,2,1,9,4.283359,5.924454
81,3,22,244,7,22,1,1,22,2,1,22,6.676365,5.25725
82,1,110,9232,7,110,2,1,110,3,2,110,6.6999903,4.235507
83,6,110,9232,7,110,1,1,110,2,1,110,4.992795,4.0647445
84,1,9,84,7,9,1,1,9,2,1,9,5.657754,5.552177
85,3,9,256,7,9,1,1,9,2,1,9,4.729431,5.0301723
86,1,30,196,7,30,1,1,30,2,1,30,4.0616603,5.721361
87,8,30,592,7,30,1,1,30,2,1,30,5.5840096,3.6897526
88,1,17,88,7,17,2,1,17,3,2,17,4.7694254,4.770826
89,3,30,304,7,30,1,1,30,2,1,30,4.2831564,6.5520988
90,1,17,136,7,17,1,1,17,2,1,17,6.6532507,4.492243
91,73,92,9232,7,92,1,1,92,2,1,92,3.8322477,6.6303644
92,1,17,160,7,17,1,1,17,2,1,17,4.332075,5.298131
93,3,17,280,7,17,1,1,17,2,1,17,7.600309,4.9562745
94,1,105,9232,7,105,2,1,105,3,2,105,7.178184,4.760558
95,13,105,9232,7,105,1,1,105,2,1,105,3.7723727,4.4164596
96,1,12,96,7,12,1,1,12,2,1,12,5.430581,5.742451
97,3,118,9232,7,118,1,1,118,2,1,118,6.8511124,6.495206
98,1,25,148,7,25,1,1,25,2,1,25,6.0457387,3.019701
99,6,25,448,7,25,1,1,25,2,1,25,6.563656,6.861273
100,1,25,100,7,25,2,1,25,3,2,25,5.981126,4.4365196
101,3,25,304,7,25,1,1,25,2,1,25,5.098402,6.382397
102,1,25,232,7,25,1,1,25,2,1,25,4.8214197,4.8429685
103,68,87,9232,7,87,1,1,87,2,1,87,6.006864,7.3567643
104,1,12,104,7,12,1,1,12,2,1,12,7.319681,4.3733425
105,3,38,808,7,38,1,1,38,2,1,38,3.9874768,5.8909516
106,1,12,160,7,12,2,1,12,3,2,12,4.3645883,4.3797135
107,8,100,9232,7,100,1,1,100,2,1,100,6.0513835,4.948279
108,1,113,9232,7,113,1,1,113,2,1,113,3.5667918,6.6494346
109,3,113,9232,7,113,1,1,113,2,1,113,5.781239,5.059683
110,1,113,9232,7,113,1,1,113,2,1,113,5.69153,3.8489544
111,50,69,9232,7,69,1,1,69,2,1,69,5.9648438,6.6181407
112,1,20,112,7,20,2,1,20,3,2,20,5.1526647,4.1875176
113,3,12,340,7,12,1,1,12,2,1,12,7.2988896,4.537167
114,1,33,196,7,33,1,1,33,2,1,33,6.8423586,4.254988
115,6,33,520,7,33,1,1,33,2,1,33,5.715392,5.583632
116,1,20,116,7,20,1,1,20,2,1,20,6.39094,6.745799
117,3,20,352,7,20,1,1,20,2,1,20,4.341834,6.0802875
118,1,33,304,7,33,2,1,33,3,2,33,7.195257,3.5579057
119,8,33,808,7,33,1,1,33,2,1,33,4.7616296,5.376832
120,1,20,160,7,20,1,1,20,2,1,20,6.6298766,4.8528585
121,3,95,9232,7,95,1,1,95,2,1,95,3.7505167,3.6181393
122,1,20,184,7,20,1,1,20,2,1,20,4.998099,5.8421097
123,13,46,628,7,46,1,1,46,2,1,46,5.649413,3.5934098
124,1,108,9232,7,108,2,1,108,3,2,108,5.3313684,5.981485
125,3,108,9232,7,108,1,1,108,2,1,108,6.099352,5.835241
126,1,108,9232,7,108,1,1,108,2,1,108,3.5113728,4.532156
127,24,46,4372,7,46,1,1,46,2,1,46,5.891872,4.4103427
128,1,7,128,8,7,1,1,7,2,1,7,5.561843,5.056634
129,3,121,9232,8,121,1,1,121,2,1,121,5.246733,5.994697
130,1,28,196,8,28,2,1,28,3,2,28,4.876553,5.8426347
131,6,28,592,8,28,1,1,28,2,1,28,5.387293,5.9160013
132,1,28,132,8,28,1,1,28,2,1,28,5.3082414,3.2082505
133,3,28,400,8,28,1,1,28,2,1,28,6.630136,4.08177
134,1,28,304,8,28,1,1,28,2,1,28,5.4116306,4.1372666
135,11,41,916,8,41,1,1,41,2,1,41,6.7813525,5.561459
136,1,15,136,8,15,2,1,15,3,2,15,5.7065077,4.0724406
137,3,90,9232,8,90,1,1,90,2,1,90,3.615998,4.9639397
138,1,15,208,8,15,1,1,15,2,1,15,5.336938,2.7819333
139,8,41,628,8,41,1,1,41,2,1,41,5.993901,5.5371857
140,1,15,160,8,15,1,1,15,2,1,15,5.3180766,3.862647
141,3,15,424,8,15,1,1,15,2,1,15,5.0959516,3.4975538
142,1,103,9232,8,103,2,1,103,3,2,103,5.5421696,4.491024
143,11,103,9232,8,103,1,1,103,2,1,103,4.8832817,3.1081016
144,1,23,144,8,23,1,1,23,2,1,23,4.9917674,4.3239245
145,3,116,9232,8,116,1,1,116,2,1,116,5.772754,5.725718
146,1,116,9232,8,116,1,1,116,2,1,116,5.9954896,3.0065088
147,6,116,9232,8,116,1,1,116,2,1,116,5.3135347,5.7606835
148,1,23,148,8,23,2,1,23,3,2,23,7.279045,6.6574607
149,3,23,448,8,23,1,1,23,2,1,23,5.8815923,6.2740726
150,1,15,340,8,15,1,1,15,2,1,15,5.6329527,3.6799436
151,8,15,1024,8,15,1,1,15,2,1,15,4.348857,5.024107
152,1,23,152,8,23,1,1,23,2,1,23,6.755456,4.7500315
153,3,36,520,8,36,1,1,36,2,1,36,4.917209,6.16846
154,1,23,232,8,23,2,1,23,3,2,23,4.5600967,4.76727
155,65,85,9232,8,85,1,1,85,2,1,85,5.0285125,7.399991
156,1,36,304,8,36,1,1,36,2,1,36,4.097501,5.919226
157,3,36,472,8,36,1,1,36,2,1,36,3.3844173,4.1108155
158,1,36,808,8,36,1,1,36,2,1,36,4.7951508,5.1603208
159,34,54,9232,8,54,1,1,54,2,1,54,6.189834,5.105287
160,1,10,160,8,10,2,1,10,3,2,10,6.3240595,4.498679
161,3,98,9232,8,98,1,1,98,2,1,98,5.872371,5.924283
162,1,23,244,8,23,1,1,23,2,1,23,4.935228,6.3248596
163,6,23,736,8,23,1,1,23,2,1,23,3.9067068,4.9638557
164,1,111,9232,8,111,1,1,111,2,1,111,5.577465,6.6912923
165,3,111,9232,8,111,1,1,111,2,1,111,5.1869874,6.146473
166,1,111,9232,8,111,2,1,111,3,2,111,5.6873865,4.1530094
167,47,67,9232,8,67,1,1,67,2,1,67,3.5177674,5.0123777
168,1,10,168,8,10,1,1,10,2,1,10,7.284651,4.2804503
169,3,49,4372,8,49,1,1,49,2,1,49,6.816723,3.9877133
170,1,10,256,8,10,1,1,10,2,1,10,6.984039,6.34466
171,8,124,9232,8,124,1,1,124,2,1,124,5.849119,3.8342307
172,1,31,196,8,31,2,1,31,3,2,31,5.8313723,5.722513
173,3,31,520,8,31,1,1,31,2,1,31,5.0921855,4.3891296
174,1,31,592,8,31,1,1,31,2,1,31,4.4611735,6.854079
175,13,80,9232,8,80,1,1,80,2,1,80,4.857114,4.368999
176,1,18,176,8,18,1,1,18,2,1,18,6.3064647,5.941712
177,3,31,532,8,31,1,1,31,2,1,31,5.5888624,6.1979403
178,1,31,304,8,31,2,1,31,3,2,31,6.0324526,4.977943
179,6,31,808,8,31,1,1,31,2,1,31,5.7050457,3.655498
180,1,18,180,8,18,1,1,18,2,1,18,5.0254216,4.8563404
181,3,18,544,8,18,1,1,18,2,1,18,4.8797827,5.839149
182,1,93,9232,8,93,1,1,93,2,1,93,5.4425435,5.106699
183,8,93,9232,8,93,1,1,93,2,1,93,6.5977864,4.544307
184,1,18,184,8,18,2,1,18,3,2,18,3.77236,4.76851
185,3,44,628,8,44,1,1,44,2,1,44,6.7091784,4.5817757
186,1,18,280,8,18,1,1,18,2,1,18,7.3225355,4.5042048
187,11,44,952,8,44,1,1,44,2,1,44,5.5789084,6.5486035
188,1,106,9232,8,106,1,1,106,2,1,106,6.4498954,5.163441
189,3,106,9232,8,106,1,1,106,2,1,106,5.701043,5.918085
190,1,106,9232,8,106,2,1,106,3,2,106,5.4981856,7.3814387
191,21,44,4372,8,44,1,1,44,2,1,44,6.831289,4.3940516
192,1,13,192,8,13,1,1,13,2,1,13,5.1126924,4.654674
193,3,119,9232,8,119,1,1,119,2,1,119,5.5983887,3.0337687
194,1,119,9232,8,119,1,1,119,2,1,119,5.5787516,4.697381
195,6,119,9232,8,119,1,1,119,2,1,119,4.133363,6.549325
196,1,26,196,8,26,2,1,26,3,2,26,6.2764816,4.679474
197,3,26,592,8,26,1,1,26,2,1,26,4.2569427,6.4801087
198,1,26,448,8,26,1,1,26,2,1,26,3.9946508,5.8259897
199,13,119,9232,8,119,1,1,119,2,1,119,4.5390263,3.7995977
200,1,26,200,8,26,1,1,26,2,1,26,5.05929,4.4639196
201,3,18,1024,8,18,1,1,18,2,1,18,6.993179,5.417628
202,1,26,304,8,26,2,1,26,3,2,26,5.954105,5.4903183
203,8,39,916,8,39,1,1,39,2,1,39,4.600615,4.898115
204,1,26,232,8,26,1,1,26,2,1,26,5.688273,3.6122506
205,3,26,616,8,26,1,1,26,2,1,26,4.0028114,5.6237016
206,1,88,9232,8,88,1,1,88,2,1,88,5.4123116,4.167065
207,21,88,9232,8,88,1,1,88,2,1,88,4.3910837,4.359388
208,1,13,208,8,13,2,1,13,3,2,13,4.8583665,4.8166075
209,3,39,628,8,39,1,1,39,2,1,39,6.6944966,5.813301
210,1,39,808,8,39,1,1,39,2,1,39,6.1198373,4.515593
211,6,39,952,8,39,1,1,39,2,1,39,4.5600753,4.620073
212,1,13,212,8,13,1,1,13,2,1,13,4.8431783,3.372054
213,3,13,640,8,13,1,1,13,2,1,13,7.4620776,4.3120513
214,1,101,9232,8,101,2,1,101,3,2,101,6.421489,5.676946
215,8,101,9232,8,101,1,1,101,2,1,101,7.0978775,5.221872
216,1,114,9232,8,114,1,1,114,2,1,114,3.9613268,5.772714
217,3,26,736,8,26,1,1,26,2,1,26,5.6578865,6.974464
218,1,114,9232,8,114,1,1,114,2,1,114,5.6971054,6.7051725
219,13,52,1672,8,52,1,1,52,2,1,52,5.526438,4.807003
220,1,114,9232,8,114,2,1,114,3,2,114,5.8589168,5.2631392
221,3,114,9232,8,114,1,1,114,2,1,114,5.4075913,5.050397
222,1,70,9232,8,70,1,1,70,2,1,70,3.2997696,5.0351133
223,50,70,9232,8,70,1,1,70,2,1,70,6.865951,3.453153
224,1,21,224,8,21,1,1,21,2,1,21,5.1375523,5.797638
225,3,52,4372,8,52,1,1,52,2,1,52,6.35152,5.6095138
226,1,13,340,8,13,2,1,13,3,2,13,3.5014827,3.6388767
227,6,13,1024,8,13,1,1,13,2,1,13,5.491773,4.086621
228,1,34,228,8,34,1,1,34,2,1,34,3.6457627,5.140008
229,3,34,688,8,34,1,1,34,2,1,34,6.973537,6.5841246
230,1,34,520,8,34,1,1,34,2,1,34,5.148559,5.091747
231,19,127,9232,8,127,1,1,127,2,1,127,4.0693455,5.2577076
232,1,21,232,8,21,2,1,21,3,2,21,4.581571,4.0865574
233,3,83,9232,8,83,1,1,83,2,1,83,7.3344264,6.0305653
234,1,21,352,8,21,1,1,21,2,1,21,4.6072497,4.0781894
235,8,127,9232,8,127,1,1,127,2,1,127,6.390455,4.6916766
236,1,34,304,8,34,1,1,34,2,1,34,5.385876,7.544647
237,3,34,712,8,34,1,1,34,2,1,34,5.090727,5.3812656
238,1,34,808,8,34,2,1,34,3,2,34,4.4665117,3.9462745
239,32,52,9232,8,52,1,1,52,2,1,52,5.9027042,4.112488
240,1,21,240,8,21,1,1,21,2,1,21,6.1307096,3.271119
241,3,21,724,8,21,1,1,21,2,1,21,3.2378225,4.0913997
242,1,96,9232,8,96,1,1,96,2,1,96,4.972399,4.122835
243,6,96,9232,8,96,1,1,96,2,1,96,7.155253,5.5112114
244,1,21,244,8,21,2,1,21,3,2,21,4.9221144,6.1870394
245,3,21,736,8,21,1,1,21,2,1,21,5.878547,4.0499606
246,1,47,628,8,47,1,1,47,2,1,47,4.603263,4.619109
247,8,47,1672,8,47,1,1,47,2,1,47,4.5863023,7.1086793
248,1,109,9232,8,109,1,1,109,2,1,109,6.282479,3.0331933
249,3,47,952,8,47,1,1,47,2,1,47,6.7273946,6.111606
