node,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,pagerank
1,2.000040000800016e-05,2.000040000800016e-05,0.0,0.004863293572117122,0.0007306643269547487
2,2.000040000800016e-05,2.000040000800016e-05,7.617492199687988e-06,0.004923088642705374,0.0008537182205429927
3,2.000040000800016e-05,2.000040000800016e-05,2.734484379375175e-07,3.7334080014933636e-05,3.044491460530055e-05
4,4.000080001600032e-05,2.000040000800016e-05,1.5234984399375976e-05,0.004984372399285935,0.000998487508145605
5,2.000040000800016e-05,2.000040000800016e-05,3.554829693187728e-05,0.004643922982137788,0.00038038628117751137
6,2.000040000800016e-05,2.000040000800016e-05,3.1251250050002e-07,3.7143600014857434e-05,2.9930671202486287e-05
7,2.000040000800016e-05,2.000040000800016e-05,2.625105004200168e-05,0.0015443083972629548,0.00023091530602925694
8,2.000040000800016e-05,2.000040000800016e-05,2.2852476599063963e-05,0.005045697984341066,0.0004381399886413418
9,2.000040000800016e-05,2.000040000800016e-05,0.0,3.692381539938491e-05,2.9325678963881596e-05
10,4.000080001600032e-05,2.000040000800016e-05,4.265795631825273e-05,0.004701832134876888,0.00044162639814056953
11,2.000040000800016e-05,2.000040000800016e-05,4.8126925077003084e-05,0.0035984258121215577,0.00043770743619279723
12,2.000040000800016e-05,2.000040000800016e-05,3.515765630625225e-07,3.692381539938491e-05,2.9325678963881596e-05
13,2.000040000800016e-05,2.000040000800016e-05,3.3048196927877115e-05,0.0036668488716779094,0.0003694952533877314
14,2.000040000800016e-05,2.000040000800016e-05,2.7891740669626788e-05,0.001577506725863817,0.00026577819050208984
15,2.000040000800016e-05,2.000040000800016e-05,0.0,3.666740001466696e-05,2.8613923389052844e-05
16,4.000080001600032e-05,2.000040000800016e-05,3.046996879875195e-05,0.0051095979330909366,0.0005095719368380622
17,2.000040000800016e-05,2.000040000800016e-05,4.3595493819752795e-05,0.003708559532761174,0.00044102137817213704
18,2.000040000800016e-05,2.000040000800016e-05,0.0,3.666740001466696e-05,2.8613923389052844e-05
19,2.000040000800016e-05,2.000040000800016e-05,2.34384375375015e-05,0.0016489054785682029,0.00028311063427840995
20,2.000040000800016e-05,2.000040000800016e-05,4.949416726669067e-05,0.004753914258869462,0.0004832286775488585
21,2.000040000800016e-05,2.000040000800016e-05,0.0,3.666740001466696e-05,2.8613923389052844e-05
22,4.000080001600032e-05,2.000040000800016e-05,5.1564562582503305e-05,0.003680242723473028,0.0005090630495008514
23,2.000040000800016e-05,2.000040000800016e-05,4.863475789031561e-05,0.001857721926164383,0.0002120061292463755
24,2.000040000800016e-05,2.000040000800016e-05,3.9064062562502503e-07,3.666740001466696e-05,2.8613923389052844e-05
25,2.000040000800016e-05,2.000040000800016e-05,7.18778751150046e-06,0.00044015570226458493,0.00014941306154001225
26,2.000040000800016e-05,2.000040000800016e-05,3.6720218808752354e-05,0.003744887687295868,0.00042881342264697016
27,2.000040000800016e-05,2.000040000800016e-05,0.0,3.636436365090938e-05,2.77765638892546e-05
28,4.000080001600032e-05,2.000040000800016e-05,2.953243129725189e-05,0.0016121934918504508,0.00030679334870807595
