component_id,component_type,size,edges,root_present
155,weak,14,13,False
156,weak,13,12,False
157,weak,13,12,False
158,weak,13,12,False
159,weak,13,12,False
160,weak,13,12,False
161,weak,13,12,False
162,weak,13,12,False
163,weak,13,12,False
164,weak,13,12,False
165,weak,13,12,False
166,weak,13,12,False
167,weak,13,12,False
168,weak,13,12,False
169,weak,13,12,False
170,weak,13,12,False
171,weak,13,12,False
172,weak,13,12,False
173,weak,13,12,False
174,weak,13,12,False
175,weak,13,12,False
176,weak,13,12,False
177,weak,13,12,False
178,weak,13,12,False
179,weak,13,12,False
180,weak,13,12,False
181,weak,12,11,False
182,weak,12,11,False
183,weak,12,11,False
184,weak,12,11,False
185,weak,12,11,False
186,weak,12,11,False
187,weak,12,11,False
188,weak,12,11,False
189,weak,12,11,False
190,weak,12,11,False
191,weak,12,11,False
192,weak,12,11,False
193,weak,12,11,False
194,weak,12,11,False
195,weak,12,11,False
196,weak,12,11,False
197,weak,12,11,False
198,weak,12,11,False
199,weak,12,11,False
200,weak,12,11,False
201,weak,12,11,False
202,weak,12,11,False
203,weak,12,11,False
204,weak,12,11,False
205,weak,12,11,False
206,weak,12,11,False
207,weak,12,11,False
208,weak,12,11,False
209,weak,12,11,False
210,weak,12,11,False
211,weak,12,11,False
212,weak,12,11,False
213,weak,12,11,False
214,weak,12,11,False
215,weak,12,11,False
216,weak,12,11,False
217,weak,12,11,False
218,weak,12,11,False
219,weak,12,11,False
220,weak,12,11,False
221,weak,11,10,False
222,weak,11,10,False
223,weak,11,10,False
224,weak,11,10,False
225,weak,11,10,False
226,weak,11,10,False
227,weak,11,10,False
228,weak,11,10,False
229,weak,11,10,False
230,weak,11,10,False
231,weak,11,10,False
232,weak,11,10,False
233,weak,11,10,False
234,weak,11,10,False
235,weak,11,10,False
236,weak,11,10,False
237,weak,11,10,False
238,weak,11,10,False
239,weak,11,10,False
240,weak,11,10,False
241,weak,11,10,False
242,weak,11,10,False
243,weak,11,10,False
244,weak,11,10,False
245,weak,11,10,False
246,weak,11,10,False
247,weak,11,10,False
248,weak,10,9,False
249,weak,10,9,False
250,weak,10,9,False
251,weak,10,9,False
252,weak,10,9,False
253,weak,10,9,False
254,weak,10,9,False
255,weak,10,9,False
256,weak,10,9,False
257,weak,10,9,False
258,weak,10,9,False
259,weak,10,9,False
260,weak,10,9,False
261,weak,10,9,False
262,weak,10,9,False
263,weak,10,9,False
264,weak,10,9,False
265,weak,10,9,False
266,weak,10,9,False
267,weak,10,9,False
268,weak,10,9,False
269,weak,10,9,False
270,weak,10,9,False
271,weak,10,9,False
272,weak,10,9,False
273,weak,10,9,False
274,weak,10,9,False
275,weak,10,9,False
276,weak,10,9,False
277,weak,10,9,False
278,weak,10,9,False
279,weak,10,9,False
280,weak,10,9,False
281,weak,10,9,False
282,weak,10,9,False
283,weak,10,9,False
284,weak,10,9,False
285,weak,10,9,False
286,weak,10,9,False
287,weak,10,9,False
288,weak,10,9,False
289,weak,10,9,False
290,weak,10,9,False
291,weak,10,9,False
292,weak,10,9,False
293,weak,10,9,False
294,weak,10,9,False
295,weak,10,9,False
296,weak,10,9,False
297,weak,10,9,False
298,weak,10,9,False
299,weak,10,9,False
300,weak,9,8,False
301,weak,9,8,False
302,weak,9,8,False
303,weak,9,8,False
304,weak,9,8,False
305,weak,9,8,False
306,weak,9,8,False
307,weak,9,8,False
308,weak,9,8,False
309,weak,9,8,False
310,weak,9,8,False
311,weak,9,8,False
312,weak,9,8,False
313,weak,9,8,False
314,weak,9,8,False
315,weak,9,8,False
316,weak,9,8,False
317,weak,9,8,False
318,weak,9,8,False
319,weak,9,8,False
320,weak,9,8,False
321,weak,9,8,False
322,weak,9,8,False
323,weak,9,8,False
324,weak,9,8,False
325,weak,9,8,False
326,weak,9,8,False
327,weak,9,8,False
328,weak,9,8,False
329,weak,9,8,False
330,weak,9,8,False
331,weak,9,8,False
332,weak,9,8,False
333,weak,9,8,False
334,weak,9,8,False
335,weak,9,8,False
336,weak,9,8,False
337,weak,9,8,False
338,weak,9,8,False
339,weak,9,8,False
340,weak,9,8,False
341,weak,9,8,False
342,weak,9,8,False
343,weak,9,8,False
344,weak,9,8,False
345,weak,9,8,False
346,weak,9,8,False
347,weak,9,8,False
348,weak,8,7,False
349,weak,8,7,False
350,weak,8,7,False
351,weak,8,7,False
352,weak,8,7,False
353,weak,8,7,False
354,weak,8,7,False
355,weak,8,7,False
356,weak,8,7,False
357,weak,8,7,False
358,weak,8,7,False
359,weak,8,7,False
360,weak,8,7,False
361,weak,8,7,False
362,weak,8,7,False
363,weak,8,7,False
364,weak,8,7,False
365,weak,8,7,False
366,weak,8,7,False
367,weak,8,7,False
368,weak,8,7,False
369,weak,8,7,False
370,weak,8,7,False
371,weak,8,7,False
372,weak,8,7,False
373,weak,8,7,False
374,weak,8,7,False
375,weak,8,7,False
376,weak,8,7,False
377,weak,8,7,False
378,weak,8,7,False
379,weak,8,7,False
380,weak,8,7,False
381,weak,8,7,False
382,weak,8,7,False
383,weak,8,7,False
384,weak,8,7,False
385,weak,8,7,False
386,weak,8,7,False
387,weak,7,6,False
388,weak,7,6,False
389,weak,7,6,False
390,weak,7,6,False
391,weak,7,6,False
392,weak,7,6,False
393,weak,7,6,False
394,weak,7,6,False
395,weak,7,6,False
396,weak,7,6,False
397,weak,7,6,False
398,weak,7,6,False
399,weak,7,6,False
400,weak,7,6,False
401,weak,7,6,False
402,weak,7,6,False
403,weak,7,6,False
404,weak,7,6,False
405,weak,7,6,False
406,weak,7,6,False
407,weak,7,6,False
408,weak,7,6,False
409,weak,7,6,False
410,weak,7,6,False
411,weak,7,6,False
412,weak,7,6,False
413,weak,7,6,False
414,weak,7,6,False
415,weak,7,6,False
416,weak,7,6,False
417,weak,7,6,False
418,weak,7,6,False
419,weak,7,6,False
420,weak,7,6,False
421,weak,7,6,False
422,weak,7,6,False
423,weak,7,6,False
424,weak,7,6,False
425,weak,7,6,False
426,weak,7,6,False
427,weak,7,6,False
428,weak,7,6,False
429,weak,7,6,False
430,weak,7,6,False
431,weak,7,6,False
432,weak,7,6,False
433,weak,7,6,False
434,weak,7,6,False
435,weak,7,6,False
436,weak,7,6,False
437,weak,7,6,False
438,weak,7,6,False
439,weak,7,6,False
440,weak,7,6,False
441,weak,7,6,False
442,weak,7,6,False
443,weak,7,6,False
444,weak,7,6,False
445,weak,7,6,False
446,weak,7,6,False
447,weak,7,6,False
448,weak,7,6,False
449,weak,7,6,False
450,weak,7,6,False
451,weak,7,6,False
452,weak,7,6,False
453,weak,7,6,False
454,weak,7,6,False
455,weak,7,6,False
456,weak,7,6,False
457,weak,7,6,False
458,weak,7,6,False
459,weak,7,6,False
460,weak,7,6,False
461,weak,7,6,False
462,weak,7,6,False
463,weak,7,6,False
464,weak,7,6,False
465,weak,7,6,False
466,weak,7,6,False
467,weak,7,6,False
468,weak,7,6,False
469,weak,7,6,False
470,weak,7,6,False
471,weak,7,6,False
472,weak,7,6,False
473,weak,7,6,False
474,weak,7,6,False
475,weak,7,6,False
476,weak,7,6,False
477,weak,7,6,False
478,weak,7,6,False
479,weak,7,6,False
480,weak,7,6,False
481,weak,7,6,False
482,weak,7,6,False
483,weak,7,6,False
484,weak,7,6,False
485,weak,7,6,False
486,weak,7,6,False
487,weak,7,6,False
488,weak,7,6,False
489,weak,7,6,False
490,weak,7,6,False
491,weak,7,6,False
492,weak,7,6,False
493,weak,7,6,False
494,weak,7,6,False
495,weak,7,6,False
496,weak,7,6,False
497,weak,7,6,False
498,weak,7,6,False
499,weak,7,6,False
500,weak,7,6,False
501,weak,7,6,False
502,weak,7,6,False
503,weak,7,6,False
504,weak,7,6,False
505,weak,7,6,False
506,weak,7,6,False
507,weak,7,6,False
508,weak,7,6,False
509,weak,7,6,False
510,weak,7,6,False
511,weak,7,6,False
512,weak,7,6,False
513,weak,7,6,False
514,weak,7,6,False
515,weak,7,6,False
516,weak,7,6,False
517,weak,7,6,False
518,weak,7,6,False
519,weak,7,6,False
520,weak,7,6,False
521,weak,7,6,False
522,weak,7,6,False
523,weak,7,6,False
524,weak,7,6,False
525,weak,7,6,False
526,weak,7,6,False
527,weak,7,6,False
528,weak,7,6,False
529,weak,7,6,False
530,weak,7,6,False
531,weak,7,6,False
532,weak,7,6,False
533,weak,7,6,False
534,weak,7,6,False
535,weak,7,6,False
536,weak,7,6,False
537,weak,7,6,False
538,weak,7,6,False
539,weak,7,6,False
540,weak,7,6,False
541,weak,7,6,False
542,weak,7,6,False
543,weak,7,6,False
544,weak,7,6,False
545,weak,7,6,False
546,weak,7,6,False
547,weak,7,6,False
548,weak,7,6,False
549,weak,7,6,False
550,weak,7,6,False
551,weak,7,6,False
552,weak,7,6,False
553,weak,7,6,False
554,weak,7,6,False
555,weak,7,6,False
556,weak,7,6,False
557,weak,7,6,False
558,weak,7,6,False
559,weak,7,6,False
560,weak,7,6,False
561,weak,7,6,False
562,weak,7,6,False
563,weak,7,6,False
564,weak,7,6,False
565,weak,7,6,False
566,weak,7,6,False
567,weak,7,6,False
568,weak,7,6,False
569,weak,7,6,False
570,weak,7,6,False
571,weak,7,6,False
572,weak,7,6,False
573,weak,7,6,False
574,weak,7,6,False
575,weak,7,6,False
576,weak,7,6,False
577,weak,7,6,False
578,weak,7,6,False
579,weak,7,6,False
580,weak,5,4,False
581,weak,5,4,False
582,weak,5,4,False
583,weak,5,4,False
584,weak,5,4,False
585,weak,5,4,False
586,weak,5,4,False
587,weak,5,4,False
588,weak,5,4,False
589,weak,5,4,False
590,weak,5,4,False
591,weak,5,4,False
592,weak,5,4,False
593,weak,5,4,False
594,weak,5,4,False
595,weak,5,4,False
596,weak,5,4,False
597,weak,5,4,False
598,weak,5,4,False
599,weak,5,4,False
600,weak,5,4,False
601,weak,5,4,False
602,weak,5,4,False
603,weak,5,4,False
604,weak,5,4,False
605,weak,5,4,False
606,weak,5,4,False
607,weak,5,4,False
608,weak,5,4,False
609,weak,5,4,False
610,weak,5,4,False
611,weak,5,4,False
612,weak,5,4,False
613,weak,5,4,False
614,weak,5,4,False
615,weak,5,4,False
616,weak,5,4,False
617,weak,5,4,False
618,weak,5,4,False
619,weak,5,4,False
620,weak,5,4,False
621,weak,5,4,False
622,weak,5,4,False
623,weak,5,4,False
624,weak,5,4,False
625,weak,5,4,False
626,weak,5,4,False
627,weak,5,4,False
628,weak,5,4,False
629,weak,5,4,False
630,weak,5,4,False
631,weak,5,4,False
632,weak,5,4,False
633,weak,5,4,False
634,weak,5,4,False
635,weak,5,4,False
636,weak,5,4,False
637,weak,5,4,False
638,weak,5,4,False
639,weak,5,4,False
640,weak,5,4,False
641,weak,5,4,False
642,weak,5,4,False
643,weak,5,4,False
644,weak,5,4,False
645,weak,5,4,False
646,weak,5,4,False
647,weak,5,4,False
648,weak,5,4,False
649,weak,5,4,False
650,weak,5,4,False
651,weak,5,4,False
652,weak,5,4,False
653,weak,5,4,False
654,weak,5,4,False
655,weak,5,4,False
656,weak,5,4,False
657,weak,5,4,False
658,weak,5,4,False
659,weak,5,4,False
660,weak,5,4,False
661,weak,5,4,False
662,weak,5,4,False
663,weak,5,4,False
664,weak,5,4,False
665,weak,5,4,False
666,weak,5,4,False
667,weak,5,4,False
668,weak,5,4,False
669,weak,5,4,False
670,weak,5,4,False
671,weak,5,4,False
672,weak,5,4,False
673,weak,5,4,False
674,weak,5,4,False
675,weak,5,4,False
676,weak,5,4,False
677,weak,5,4,False
678,weak,5,4,False
679,weak,5,4,False
680,weak,5,4,False
681,weak,5,4,False
682,weak,5,4,False
683,weak,5,4,False
684,weak,5,4,False
685,weak,5,4,False
686,weak,5,4,False
687,weak,5,4,False
688,weak,5,4,False
689,weak,5,4,False
690,weak,5,4,False
691,weak,5,4,False
692,weak,5,4,False
693,weak,5,4,False
694,weak,5,4,False
695,weak,5,4,False
696,weak,4,3,False
697,weak,4,3,False
698,weak,4,3,False
699,weak,4,3,False
700,weak,4,3,False
701,weak,4,3,False
702,weak,4,3,False
703,weak,4,3,False
704,weak,4,3,False
705,weak,4,3,False
706,weak,4,3,False
707,weak,4,3,False
708,weak,4,3,False
709,weak,4,3,False
710,weak,4,3,False
711,weak,4,3,False
712,weak,4,3,False
713,weak,4,3,False
714,weak,4,3,False
715,weak,4,3,False
716,weak,4,3,False
717,weak,4,3,False
718,weak,4,3,False
719,weak,4,3,False
720,weak,4,3,False
721,weak,4,3,False
722,weak,4,3,False
723,weak,4,3,False
724,weak,4,3,False
725,weak,4,3,False
726,weak,4,3,False
727,weak,4,3,False
728,weak,4,3,False
729,weak,4,3,False
730,weak,4,3,False
731,weak,4,3,False
732,weak,4,3,False
733,weak,4,3,False
734,weak,4,3,False
735,weak,4,3,False
736,weak,4,3,False
737,weak,4,3,False
738,weak,4,3,False
739,weak,4,3,False
740,weak,4,3,False
741,weak,4,3,False
742,weak,4,3,False
743,weak,4,3,False
744,weak,4,3,False
745,weak,4,3,False
746,weak,4,3,False
747,weak,4,3,False
748,weak,4,3,False
749,weak,4,3,False
750,weak,4,3,False
751,weak,4,3,False
752,weak,4,3,False
753,weak,4,3,False
754,weak,4,3,False
755,weak,4,3,False
756,weak,4,3,False
757,weak,4,3,False
758,weak,4,3,False
759,weak,4,3,False
760,weak,4,3,False
761,weak,4,3,False
762,weak,4,3,False
763,weak,4,3,False
764,weak,4,3,False
765,weak,4,3,False
766,weak,4,3,False
767,weak,4,3,False
768,weak,4,3,False
769,weak,4,3,False
770,weak,4,3,False
771,weak,4,3,False
772,weak,4,3,False
773,weak,4,3,False
774,weak,4,3,False
775,weak,4,3,False
776,weak,4,3,False
777,weak,4,3,False
778,weak,4,3,False
779,weak,4,3,False
780,weak,4,3,False
781,weak,4,3,False
782,weak,4,3,False
783,weak,4,3,False
784,weak,4,3,False
785,weak,4,3,False
786,weak,4,3,False
787,weak,4,3,False
788,weak,4,3,False
789,weak,4,3,False
790,weak,4,3,False
791,weak,4,3,False
792,weak,4,3,False
793,weak,4,3,False
794,weak,4,3,False
795,weak,4,3,False
796,weak,4,3,False
797,weak,4,3,False
798,weak,4,3,False
799,weak,4,3,False
800,weak,4,3,False
801,weak,4,3,False
802,weak,4,3,False
803,weak,4,3,False
804,weak,4,3,False
805,weak,4,3,False
806,weak,4,3,False
807,weak,4,3,False
808,weak,4,3,False
809,weak,4,3,False
810,weak,4,3,False
811,weak,4,3,False
812,weak,4,3,False
813,weak,4,3,False
814,weak,4,3,False
815,weak,4,3,False
816,weak,4,3,False
817,weak,4,3,False
818,weak,4,3,False
819,weak,4,3,False
820,weak,4,3,False
821,weak,4,3,False
822,weak,4,3,False
823,weak,4,3,False
824,weak,4,3,False
825,weak,4,3,False
826,weak,4,3,False
827,weak,4,3,False
828,weak,4,3,False
829,weak,4,3,False
830,weak,4,3,False
831,weak,4,3,False
832,weak,4,3,False
833,weak,4,3,False
834,weak,4,3,False
835,weak,4,3,False
836,weak,4,3,False
837,weak,4,3,False
838,weak,4,3,False
839,weak,4,3,False
840,weak,4,3,False
841,weak,4,3,False
842,weak,4,3,False
843,weak,4,3,False
844,weak,4,3,False
845,weak,4,3,False
846,weak,4,3,False
847,weak,4,3,False
848,weak,4,3,False
849,weak,4,3,False
850,weak,4,3,False
851,weak,4,3,False
852,weak,4,3,False
853,weak,4,3,False
854,weak,4,3,False
855,weak,4,3,False
856,weak,4,3,False
857,weak,4,3,False
858,weak,4,3,False
859,weak,4,3,False
860,weak,4,3,False
861,weak,4,3,False
862,weak,4,3,False
863,weak,4,3,False
864,weak,4,3,False
865,weak,4,3,False
866,weak,4,3,False
867,weak,4,3,False
868,weak,4,3,False
869,weak,4,3,False
870,weak,4,3,False
871,weak,4,3,False
872,weak,4,3,False
873,weak,4,3,False
874,weak,4,3,False
875,weak,4,3,False
876,weak,4,3,False
877,weak,4,3,False
878,weak,4,3,False
879,weak,4,3,False
880,weak,4,3,False
881,weak,4,3,False
882,weak,4,3,False
883,weak,4,3,False
884,weak,4,3,False
885,weak,4,3,False
886,weak,4,3,False
887,weak,4,3,False
888,weak,4,3,False
889,weak,4,3,False
890,weak,4,3,False
891,weak,4,3,False
892,weak,4,3,False
893,weak,4,3,False
894,weak,4,3,False
895,weak,4,3,False
896,weak,4,3,False
897,weak,4,3,False
898,weak,4,3,False
899,weak,4,3,False
900,weak,4,3,False
901,weak,4,3,False
902,weak,4,3,False
903,weak,4,3,False
904,weak,4,3,False
905,weak,4,3,False
906,weak,4,3,False
907,weak,4,3,False
908,weak,4,3,False
909,weak,4,3,False
910,weak,4,3,False
911,weak,4,3,False
912,weak,4,3,False
913,weak,4,3,False
914,weak,4,3,False
915,weak,4,3,False
916,weak,4,3,False
917,weak,4,3,False
918,weak,4,3,False
919,weak,4,3,False
920,weak,4,3,False
921,weak,4,3,False
922,weak,4,3,False
923,weak,4,3,False
924,weak,4,3,False
925,weak,4,3,False
926,weak,4,3,False
927,weak,4,3,False
928,weak,4,3,False
929,weak,4,3,False
930,weak,4,3,False
931,weak,4,3,False
932,weak,4,3,False
933,weak,4,3,False
934,weak,4,3,False
935,weak,4,3,False
936,weak,4,3,False
937,weak,4,3,False
938,weak,4,3,False
939,weak,4,3,False
940,weak,4,3,False
941,weak,4,3,False
942,weak,4,3,False
943,weak,4,3,False
944,weak,4,3,False
945,weak,4,3,False
946,weak,4,3,False
947,weak,4,3,False
948,weak,4,3,False
949,weak,4,3,False
950,weak,4,3,False
951,weak,4,3,False
952,weak,4,3,False
953,weak,4,3,False
954,weak,4,3,False
955,weak,4,3,False
956,weak,4,3,False
957,weak,4,3,False
958,weak,4,3,False
959,weak,4,3,False
960,weak,4,3,False
961,weak,4,3,False
962,weak,4,3,False
963,weak,4,3,False
964,weak,4,3,False
965,weak,4,3,False
966,weak,4,3,False
967,weak,4,3,False
968,weak,4,3,False
969,weak,4,3,False
970,weak,4,3,False
971,weak,4,3,False
972,weak,4,3,False
973,weak,4,3,False
974,weak,4,3,False
975,weak,4,3,False
976,weak,4,3,False
977,weak,4,3,False
978,weak,4,3,False
979,weak,4,3,False
980,weak,4,3,False
981,weak,4,3,False
982,weak,4,3,False
983,weak,4,3,False
984,weak,4,3,False
985,weak,4,3,False
986,weak,4,3,False
987,weak,4,3,False
988,weak,4,3,False
989,weak,4,3,False
990,weak,4,3,False
991,weak,4,3,False
992,weak,4,3,False
993,weak,4,3,False
994,weak,4,3,False
995,weak,4,3,False
996,weak,4,3,False
997,weak,4,3,False
998,weak,4,3,False
999,weak,4,3,False
1000,weak,4,3,False
1001,weak,4,3,False
1002,weak,4,3,False
1003,weak,4,3,False
1004,weak,4,3,False
1005,weak,4,3,False
1006,weak,4,3,False
1007,weak,4,3,False
1008,weak,4,3,False
1009,weak,4,3,False
1010,weak,4,3,False
1011,weak,4,3,False
1012,weak,4,3,False
1013,weak,4,3,False
1014,weak,4,3,False
1015,weak,4,3,False
1016,weak,4,3,False
1017,weak,4,3,False
1018,weak,4,3,False
1019,weak,4,3,False
1020,weak,4,3,False
1021,weak,4,3,False
1022,weak,4,3,False
1023,weak,4,3,False
1024,weak,4,3,False
1025,weak,4,3,False
1026,weak,4,3,False
1027,weak,4,3,False
1028,weak,4,3,False
1029,weak,4,3,False
1030,weak,4,3,False
1031,weak,4,3,False
1032,weak,4,3,False
1033,weak,4,3,False
1034,weak,4,3,False
1035,weak,4,3,False
1036,weak,4,3,False
1037,weak,4,3,False
1038,weak,4,3,False
1039,weak,4,3,False
1040,weak,4,3,False
1041,weak,4,3,False
1042,weak,4,3,False
1043,weak,4,3,False
1044,weak,4,3,False
1045,weak,4,3,False
1046,weak,4,3,False
1047,weak,4,3,False
1048,weak,4,3,False
1049,weak,4,3,False
1050,weak,4,3,False
1051,weak,4,3,False
1052,weak,4,3,False
1053,weak,4,3,False
1054,weak,4,3,False
1055,weak,4,3,False
1056,weak,4,3,False
1057,weak,4,3,False
1058,weak,4,3,False
1059,weak,4,3,False
1060,weak,4,3,False
1061,weak,4,3,False
1062,weak,4,3,False
1063,weak,4,3,False
1064,weak,4,3,False
1065,weak,4,3,False
1066,weak,4,3,False
1067,weak,4,3,False
1068,weak,4,3,False
1069,weak,4,3,False
1070,weak,4,3,False
1071,weak,4,3,False
1072,weak,4,3,False
1073,weak,4,3,False
1074,weak,4,3,False
1075,weak,4,3,False
1076,weak,4,3,False
1077,weak,4,3,False
1078,weak,4,3,False
1079,weak,4,3,False
1080,weak,4,3,False
1081,weak,4,3,False
1082,weak,4,3,False
1083,weak,4,3,False
1084,weak,4,3,False
1085,weak,4,3,False
1086,weak,4,3,False
1087,weak,4,3,False
1088,weak,4,3,False
1089,weak,4,3,False
1090,weak,4,3,False
1091,weak,4,3,False
1092,weak,4,3,False
1093,weak,4,3,False
1094,weak,4,3,False
1095,weak,4,3,False
1096,weak,4,3,False
1097,weak,4,3,False
1098,weak,4,3,False
1099,weak,4,3,False
1100,weak,4,3,False
1101,weak,4,3,False
1102,weak,4,3,False
1103,weak,4,3,False
1104,weak,4,3,False
1105,weak,4,3,False
1106,weak,4,3,False
1107,weak,4,3,False
1108,weak,4,3,False
1109,weak,4,3,False
1110,weak,4,3,False
1111,weak,4,3,False
1112,weak,4,3,False
1113,weak,4,3,False
1114,weak,4,3,False
1115,weak,4,3,False
1116,weak,4,3,False
1117,weak,4,3,False
1118,weak,4,3,False
1119,weak,4,3,False
1120,weak,4,3,False
1121,weak,4,3,False
1122,weak,4,3,False
1123,weak,4,3,False
1124,weak,4,3,False
1125,weak,4,3,False
1126,weak,4,3,False
1127,weak,4,3,False
1128,weak,4,3,False
1129,weak,4,3,False
1130,weak,4,3,False
1131,weak,4,3,False
1132,weak,4,3,False
1133,weak,4,3,False
1134,weak,4,3,False
1135,weak,4,3,False
1136,weak,4,3,False
1137,weak,4,3,False
1138,weak,4,3,False
1139,weak,4,3,False
1140,weak,4,3,False
1141,weak,4,3,False
1142,weak,4,3,False
1143,weak,4,3,False
1144,weak,4,3,False
1145,weak,4,3,False
1146,weak,4,3,False
1147,weak,4,3,False
1148,weak,4,3,False
1149,weak,4,3,False
1150,weak,4,3,False
1151,weak,4,3,False
1152,weak,4,3,False
1153,weak,4,3,False
1154,weak,4,3,False
1155,weak,4,3,False
1156,weak,4,3,False
1157,weak,4,3,False
1158,weak,4,3,False
1159,weak,4,3,False
1160,weak,4,3,False
1161,weak,4,3,False
1162,weak,4,3,False
1163,weak,4,3,False
1164,weak,4,3,False
1165,weak,4,3,False
1166,weak,4,3,False
1167,weak,4,3,False
1168,weak,4,3,False
1169,weak,4,3,False
1170,weak,4,3,False
1171,weak,4,3,False
1172,weak,4,3,False
1173,weak,4,3,False
1174,weak,4,3,False
1175,weak,4,3,False
1176,weak,4,3,False
1177,weak,4,3,False
1178,weak,4,3,False
1179,weak,4,3,False
1180,weak,4,3,False
1181,weak,4,3,False
1182,weak,4,3,False
1183,weak,4,3,False
1184,weak,4,3,False
1185,weak,4,3,False
1186,weak,4,3,False
1187,weak,4,3,False
1188,weak,4,3,False
1189,weak,4,3,False
1190,weak,4,3,False
1191,weak,4,3,False
1192,weak,4,3,False
1193,weak,4,3,False
1194,weak,4,3,False
1195,weak,4,3,False
1196,weak,4,3,False
1197,weak,4,3,False
1198,weak,4,3,False
1199,weak,4,3,False
1200,weak,4,3,False
1201,weak,4,3,False
1202,weak,4,3,False
1203,weak,4,3,False
1204,weak,4,3,False
1205,weak,4,3,False
1206,weak,4,3,False
1207,weak,4,3,False
1208,weak,4,3,False
1209,weak,4,3,False
1210,weak,4,3,False
1211,weak,4,3,False
1212,weak,4,3,False
1213,weak,4,3,False
1214,weak,4,3,False
1215,weak,4,3,False
1216,weak,4,3,False
1217,weak,4,3,False
1218,weak,4,3,False
1219,weak,4,3,False
1220,weak,4,3,False
1221,weak,4,3,False
1222,weak,4,3,False
1223,weak,4,3,False
1224,weak,4,3,False
1225,weak,4,3,False
1226,weak,4,3,False
1227,weak,4,3,False
1228,weak,4,3,False
1229,weak,4,3,False
1230,weak,4,3,False
1231,weak,4,3,False
1232,weak,4,3,False
1233,weak,4,3,False
1234,weak,4,3,False
1235,weak,4,3,False
1236,weak,4,3,False
1237,weak,4,3,False
1238,weak,4,3,False
1239,weak,4,3,False
1240,weak,4,3,False
1241,weak,4,3,False
1242,weak,4,3,False
1243,weak,4,3,False
1244,weak,4,3,False
1245,weak,4,3,False
