component_id,component_type,size,edges,root_present
0,weak,20019,20019,True
1,weak,270,269,False
2,weak,215,214,False
3,weak,178,177,False
4,weak,136,135,False
5,weak,118,117,False
6,weak,114,113,False
7,weak,107,106,False
8,weak,90,89,False
9,weak,89,88,False
10,weak,79,78,False
11,weak,68,67,False
12,weak,59,58,False
13,weak,59,58,False
14,weak,57,56,False
15,weak,56,55,False
16,weak,54,53,False
17,weak,52,51,False
18,weak,51,50,False
19,weak,50,49,False
20,weak,49,48,False
21,weak,48,47,False
22,weak,47,46,False
23,weak,45,44,False
24,weak,45,44,False
25,weak,43,42,False
26,weak,40,39,False
27,weak,37,36,False
28,weak,36,35,False
29,weak,36,35,False
30,weak,35,34,False
31,weak,35,34,False
32,weak,34,33,False
33,weak,33,32,False
34,weak,32,31,False
35,weak,32,31,False
36,weak,31,30,False
37,weak,31,30,False
38,weak,31,30,False
39,weak,31,30,False
40,weak,31,30,False
41,weak,30,29,False
42,weak,30,29,False
43,weak,29,28,False
44,weak,28,27,False
45,weak,28,27,False
46,weak,28,27,False
47,weak,27,26,False
48,weak,27,26,False
49,weak,27,26,False
50,weak,27,26,False
51,weak,27,26,False
52,weak,27,26,False
53,weak,26,25,False
54,weak,26,25,False
55,weak,25,24,False
56,weak,24,23,False
57,weak,24,23,False
58,weak,24,23,False
59,weak,24,23,False
60,weak,23,22,False
61,weak,23,22,False
62,weak,23,22,False
63,weak,23,22,False
64,weak,23,22,False
65,weak,23,22,False
66,weak,23,22,False
67,weak,23,22,False
68,weak,22,21,False
69,weak,22,21,False
70,weak,21,20,False
71,weak,21,20,False
72,weak,21,20,False
73,weak,21,20,False
74,weak,20,19,False
75,weak,20,19,False
76,weak,20,19,False
77,weak,20,19,False
78,weak,19,18,False
79,weak,19,18,False
80,weak,19,18,False
81,weak,19,18,False
82,weak,19,18,False
83,weak,19,18,False
84,weak,18,17,False
85,weak,18,17,False
86,weak,18,17,False
87,weak,18,17,False
88,weak,18,17,False
89,weak,18,17,False
90,weak,18,17,False
91,weak,18,17,False
92,weak,18,17,False
93,weak,18,17,False
94,weak,18,17,False
95,weak,18,17,False
96,weak,18,17,False
97,weak,18,17,False
98,weak,18,17,False
99,weak,18,17,False
100,weak,18,17,False
101,weak,17,16,False
102,weak,17,16,False
103,weak,17,16,False
104,weak,17,16,False
105,weak,17,16,False
106,weak,17,16,False
107,weak,17,16,False
108,weak,17,16,False
109,weak,17,16,False
110,weak,17,16,False
111,weak,17,16,False
112,weak,17,16,False
113,weak,17,16,False
114,weak,17,16,False
115,weak,17,16,False
116,weak,17,16,False
117,weak,16,15,False
118,weak,16,15,False
119,weak,16,15,False
120,weak,16,15,False
121,weak,16,15,False
122,weak,16,15,False
123,weak,16,15,False
124,weak,16,15,False
125,weak,15,14,False
126,weak,15,14,False
127,weak,15,14,False
128,weak,15,14,False
129,weak,15,14,False
130,weak,15,14,False
131,weak,15,14,False
132,weak,15,14,False
133,weak,15,14,False
134,weak,15,14,False
135,weak,15,14,False
136,weak,15,14,False
137,weak,15,14,False
138,weak,15,14,False
139,weak,14,13,False
140,weak,14,13,False
141,weak,14,13,False
142,weak,14,13,False
143,weak,14,13,False
144,weak,14,13,False
145,weak,14,13,False
146,weak,14,13,False
147,weak,14,13,False
148,weak,14,13,False
149,weak,14,13,False
150,weak,14,13,False
151,weak,14,13,False
152,weak,14,13,False
153,weak,14,13,False
154,weak,14,13,False
