geo_quantity,rank,embedding_dim,pearson_r,abs_r
ollivier_ricci,1,dim_118,-0.02386935079228071,0.02386935079228071
ollivier_ricci,2,dim_127,-0.021581536225715136,0.021581536225715136
ollivier_ricci,3,dim_39,-0.021197174895452763,0.021197174895452763
ollivier_ricci,4,dim_106,0.02101642627001586,0.02101642627001586
ollivier_ricci,5,dim_71,-0.020726108523311183,0.020726108523311183
ollivier_ricci,6,dim_27,0.019589986314761953,0.019589986314761953
ollivier_ricci,7,dim_84,-0.01925814833610056,0.01925814833610056
ollivier_ricci,8,dim_48,-0.019126679652211452,0.019126679652211452
ollivier_ricci,9,dim_13,0.018251791155334176,0.018251791155334176
ollivier_ricci,10,dim_29,0.0179556183262306,0.0179556183262306
branching_entropy,1,dim_105,0.03904652246029032,0.03904652246029032
branching_entropy,2,dim_1,-0.02539660501428334,0.02539660501428334
branching_entropy,3,dim_65,-0.02275039917192334,0.02275039917192334
branching_entropy,4,dim_44,-0.019611791174975145,0.019611791174975145
branching_entropy,5,dim_126,0.019510060178884427,0.019510060178884427
branching_entropy,6,dim_86,-0.01925035369378834,0.01925035369378834
branching_entropy,7,dim_91,-0.01913064455064855,0.01913064455064855
branching_entropy,8,dim_53,0.01834050945889734,0.01834050945889734
branching_entropy,9,dim_26,-0.01762780382326033,0.01762780382326033
branching_entropy,10,dim_7,0.017051728645662224,0.017051728645662224
ancestor_density_k2,1,dim_85,-0.027941325611883623,0.027941325611883623
ancestor_density_k2,2,dim_24,0.026626409173500325,0.026626409173500325
ancestor_density_k2,3,dim_28,0.025778814633351348,0.025778814633351348
ancestor_density_k2,4,dim_36,-0.024773424886336166,0.024773424886336166
ancestor_density_k2,5,dim_82,0.022941659214009404,0.022941659214009404
ancestor_density_k2,6,dim_103,0.022440312217335202,0.022440312217335202
ancestor_density_k2,7,dim_86,0.02219651234418427,0.02219651234418427
ancestor_density_k2,8,dim_72,0.021664927277985035,0.021664927277985035
ancestor_density_k2,9,dim_113,0.021364148568005382,0.021364148568005382
ancestor_density_k2,10,dim_15,-0.020804542601338637,0.020804542601338637
local_potential,1,dim_86,-0.030713307448177966,0.030713307448177966
local_potential,2,dim_64,-0.02648219738969175,0.02648219738969175
local_potential,3,dim_1,-0.02436899380095025,0.02436899380095025
local_potential,4,dim_50,0.024306515216300274,0.024306515216300274
local_potential,5,dim_104,-0.02336625895622719,0.02336625895622719
local_potential,6,dim_119,0.023303610218673835,0.023303610218673835
local_potential,7,dim_62,-0.02149113464964291,0.02149113464964291
local_potential,8,dim_60,0.021205637855705773,0.021205637855705773
local_potential,9,dim_26,-0.020483232903392087,0.020483232903392087
local_potential,10,dim_30,0.019336374076357937,0.019336374076357937
flow_energy,1,dim_24,-0.029629764534734062,0.029629764534734062
flow_energy,2,dim_36,0.026715850199881343,0.026715850199881343
flow_energy,3,dim_86,-0.024719843744329926,0.024719843744329926
flow_energy,4,dim_26,-0.02161461690091615,0.02161461690091615
flow_energy,5,dim_103,-0.021083647507915842,0.021083647507915842
flow_energy,6,dim_118,-0.021016773069769012,0.021016773069769012
flow_energy,7,dim_28,-0.020410554606571554,0.020410554606571554
flow_energy,8,dim_72,-0.019937110872810197,0.019937110872810197
flow_energy,9,dim_85,0.019935035587164848,0.019935035587164848
flow_energy,10,dim_82,-0.019357072677941,0.019357072677941
