quantity,source,scale_label,within_scale_mean,within_scale_std,cross_scale_mean,cross_scale_std,ratio_to_noise_floor
knn_overlap_k10,embedding,10000->100000,0.0005265756985055,6.77011892274521e-05,0.0005633528265107,9.314271786414328e-05,1.069842053307009
knn_overlap_k10,embedding,10000->50000,0.0005265756985055,6.77011892274521e-05,0.0005352826510721,1.0849840194990788e-05,1.0165350444225072
knn_overlap_k10,embedding,50000->100000,0.0005265756985055,6.77011892274521e-05,0.0004914230019493,4.607735240044228e-05,0.9332428430404736
knn_overlap_k50,embedding,10000->100000,0.0025872993797799,6.450864493750177e-05,0.002514744922753,5.446105038937517e-05,0.9719574558731254
knn_overlap_k50,embedding,10000->50000,0.0025872993797799,6.450864493750177e-05,0.0025682244286315,1.6678600579563354e-05,0.9926274665786874
knn_overlap_k50,embedding,50000->100000,0.0025872993797799,6.450864493750177e-05,0.0025162012243197,7.317342631452539e-05,0.9725203213761048
linear_cka,embedding,10000->100000,0.0127074244822703,0.0001093404578582,0.0127242927159376,0.0001236079397311,1.0013274313524991
linear_cka,embedding,10000->50000,0.0127074244822703,0.0001093404578582,0.0126408020308113,0.0001176281466722,0.9947572026454284
linear_cka,embedding,50000->100000,0.0127074244822703,0.0001093404578582,0.0127571946961785,9.834452305523068e-05,1.003916624802894
distance_spearman,embedding,10000->100000,-8.186428124590525e-05,0.000778446278112,-2.4293199798311423e-05,0.0005035165079701,0.2967496865371494
distance_spearman,embedding,10000->50000,-8.186428124590525e-05,0.000778446278112,0.0001390958668415,0.0005457059477291,-1.6991032563245014
distance_spearman,embedding,50000->100000,-8.186428124590525e-05,0.000778446278112,0.0002244194636647,0.0004210707811292,-2.7413599710304526
procrustes_residual,embedding,10000->100000,1.344612186128371,0.0003662008027324,1.3445890694589535,0.0004319222067312,1.0000171923674992
procrustes_residual,embedding,10000->50000,1.344612186128371,0.0003662008027324,1.3447830545597683,0.0002111908496009,0.9998729397795294
procrustes_residual,embedding,50000->100000,1.344612186128371,0.0003662008027324,1.3444064306179755,0.0002166421288378,1.00015304561605
adjusted_rand_index,clustering,10000->100000,-1.271475295492098e-05,7.360358525157108e-05,2.593036162585496e-05,0.000126213943133,-2.0393916985873606
adjusted_rand_index,clustering,10000->50000,-1.271475295492098e-05,7.360358525157108e-05,-0.0001357138366494,7.960045721178908e-05,10.673729731960137
adjusted_rand_index,clustering,50000->100000,-1.271475295492098e-05,7.360358525157108e-05,-0.0001137515294399,0.0001129644665463,8.946420732136913
adjusted_mutual_info,clustering,10000->100000,-2.05534749093828e-05,0.0001223426268779,4.633315352172772e-05,0.0002175928893937,-2.2542734854326905
adjusted_mutual_info,clustering,10000->50000,-2.05534749093828e-05,0.0001223426268779,-0.0002321464794245,0.0001340573015997,11.294755774780352
adjusted_mutual_info,clustering,50000->100000,-2.05534749093828e-05,0.0001223426268779,-0.0002007052532012,0.0001873581301754,9.765027767137124
