property,anova_f_stat,anova_p_val,kruskal_h_stat,kruskal_p_val,mutual_info,algorithm
stopping_time,2.5481389589220975,0.11045586249349054,1.925226511090736,0.1652816360871197,0.0,KMeans (k=2)
total_stopping_time,0.5860531514160551,0.44396748294062227,0.9871209235133387,0.32044706545495655,0.0005737724130869815,KMeans (k=2)
maximum_excursion,0.3881275108266788,0.5332995172661003,0.10455120287520125,0.7464348982375353,0.0,KMeans (k=2)
binary_length,0.5633550381019449,0.45292925995412725,0.36944098277815385,0.5433091381787151,0.0,KMeans (k=2)
level_set,0.7348287204337687,0.3913430225655987,0.7975846632739081,0.3718164980138091,0.0,KMeans (k=2)
distance_from_root,0.7348287204337687,0.3913430225655987,0.7975846632739081,0.3718164980138091,0.0,KMeans (k=2)
in_degree,0.7969072995857701,0.3720411328999185,0.7159032214838231,0.3974910235628091,0.0022368120506082168,KMeans (k=2)
ancestor_count,0.7638301720516785,0.3821535234668643,0.7119831883269004,0.39878622658852725,0.0022940775628739196,KMeans (k=2)
stopping_time,0.19848711769286786,0.6559637556312591,0.4476299142880748,0.503462624406622,0.0004254103314045299,HDBSCAN (mcs=5)
total_stopping_time,0.17700528433279342,0.673977370770374,0.04545557857105978,0.8311685198202763,2.5293745773091736e-05,HDBSCAN (mcs=5)
maximum_excursion,0.03393902237590376,0.8538439312111193,0.32239629950458343,0.5701711030541347,0.0,HDBSCAN (mcs=5)
binary_length,0.12891380053643986,0.7195758295906649,0.026394307779381163,0.8709410655857062,4.119733001273218e-05,HDBSCAN (mcs=5)
level_set,0.17227848418833813,0.6781122528689111,0.05305371048888153,0.8178323118613045,0.0,HDBSCAN (mcs=5)
distance_from_root,0.17227848418833813,0.6781122528689111,0.05305371048888153,0.8178323118613045,0.0,HDBSCAN (mcs=5)
in_degree,0.059084910771240874,0.8079579739636683,0.021955485776775627,0.882205579442007,0.0009651134922326055,HDBSCAN (mcs=5)
ancestor_count,0.06013967362199476,0.8062852166875321,0.02225084409519487,0.8814217260200627,0.0008670998102130456,HDBSCAN (mcs=5)
