node,kmeans_k2,dbscan_eps_0.05_ms_5,hdbscan_mcs5
1,1,-1,0
2,0,-1,0
3,1,-1,0
4,0,-1,-1
5,1,-1,-1
6,0,-1,-1
7,1,-1,0
8,0,-1,-1
9,1,-1,-1
10,1,-1,0
11,1,-1,0
12,1,-1,0
13,1,-1,0
14,1,-1,0
15,1,-1,0
16,0,-1,0
17,0,-1,-1
18,0,-1,-1
19,1,-1,0
20,1,-1,0
21,0,-1,0
22,1,-1,0
23,1,-1,0
24,0,-1,-1
25,0,-1,-1
26,1,-1,-1
27,1,-1,-1
28,0,-1,-1
29,0,-1,-1
30,0,-1,0
31,1,-1,-1
32,1,-1,-1
33,0,-1,0
34,0,-1,-1
35,0,-1,-1
36,0,-1,-1
37,0,-1,0
38,1,-1,-1
39,1,-1,0
40,1,-1,-1
41,0,-1,0
42,0,-1,-1
43,1,-1,-1
44,0,-1,0
45,0,-1,0
46,1,-1,0
47,1,-1,0
48,1,-1,0
49,1,-1,-1
50,1,-1,-1
51,0,-1,-1
52,0,-1,-1
53,0,-1,-1
54,1,-1,0
55,0,-1,0
56,1,-1,-1
57,0,-1,-1
58,0,-1,0
59,0,-1,-1
60,1,-1,-1
61,1,-1,-1
62,1,-1,0
63,1,-1,-1
64,1,-1,-1
65,1,-1,0
66,1,-1,0
67,0,-1,-1
68,1,-1,0
69,1,-1,0
70,1,-1,0
71,0,-1,0
72,0,-1,-1
73,0,-1,-1
74,0,-1,-1
75,0,-1,0
76,1,-1,0
77,0,-1,-1
78,1,-1,-1
79,1,-1,0
80,0,-1,0
81,1,-1,0
82,0,-1,0
83,0,-1,-1
84,1,-1,-1
85,0,-1,-1
86,1,-1,0
87,1,-1,0
88,0,-1,0
89,1,-1,0
90,1,-1,-1
91,1,-1,-1
92,0,-1,0
93,0,-1,0
94,0,-1,0
95,0,-1,-1
96,0,-1,-1
97,1,-1,-1
98,1,-1,0
99,0,-1,0
100,0,-1,-1
101,1,-1,-1
102,0,-1,0
103,1,-1,0
104,1,-1,-1
105,1,-1,0
106,0,-1,0
107,1,-1,-1
108,0,-1,-1
109,0,-1,0
110,1,-1,-1
111,1,-1,-1
112,1,-1,0
113,1,-1,0
114,1,-1,-1
115,0,-1,0
116,1,-1,0
117,0,-1,-1
118,0,-1,0
119,1,-1,-1
120,0,-1,0
121,1,-1,-1
122,1,-1,-1
123,0,-1,-1
124,0,-1,-1
125,0,-1,0
126,0,-1,0
127,1,-1,0
128,1,-1,0
129,0,-1,-1
130,1,-1,-1
131,0,-1,0
132,1,-1,0
133,0,-1,0
134,0,-1,-1
135,1,-1,0
136,1,-1,0
137,1,-1,0
138,1,-1,-1
139,1,-1,0
140,1,-1,-1
