cluster,cluster_size,property,mean,std,median,iqr,min,max
-1,4915,stopping_time,5.139979654120041,9.963878750538642,1.0,2.0,1.0,132.0
-1,4915,total_stopping_time,84.83133265513733,46.917609599089715,73.0,82.0,2.0,259.0
-1,4915,maximum_excursion,62746.62787385554,522873.15544629114,13120.0,22680.0,4.0,27114424.0
-1,4915,binary_length,12.366225839267548,1.4803420935721958,13.0,1.0,3.0,14.0
-1,4915,level_set,28.824821973550357,43.73771397719607,-1.0,46.0,-1.0,160.0
-1,4915,distance_from_root,28.824821973550357,43.73771397719607,-1.0,46.0,-1.0,160.0
-1,4915,in_degree,0.6655137334689726,0.622746938412984,1.0,1.0,0.0,2.0
-1,4915,ancestor_count,1.6657171922685656,0.6233459654594538,2.0,1.0,1.0,4.0
0,5080,stopping_time,5.228149606299213,10.177195584338051,3.0,5.0,0.0,132.0
0,5080,total_stopping_time,85.08877952755905,46.25264614782382,74.0,78.0,0.0,261.0
0,5080,maximum_excursion,55393.50059055118,268876.5257964571,13768.0,23328.0,1.0,8153620.0
0,5080,binary_length,12.359842519685039,1.495018491578141,13.0,1.0,1.0,14.0
0,5080,level_set,27.831299212598424,43.24833623722911,-1.0,45.0,-1.0,160.0
0,5080,distance_from_root,27.831299212598424,43.24833623722911,-1.0,45.0,-1.0,160.0
0,5080,in_degree,0.6679133858267716,0.6244320067714836,1.0,1.0,0.0,2.0
0,5080,ancestor_count,1.668700787401575,0.6261090043075331,2.0,1.0,1.0,4.0
1,5,stopping_time,3.2,1.6,3.0,0.0,1.0,6.0
1,5,total_stopping_time,93.8,59.11818671102827,75.0,95.0,27.0,184.0
1,5,maximum_excursion,33236.8,26749.782013317417,21904.0,40824.0,7720.0,77272.0
1,5,binary_length,12.6,1.0198039027185568,13.0,1.0,11.0,14.0
1,5,level_set,19.8,29.65400478856102,-1.0,28.0,-1.0,75.0
1,5,distance_from_root,19.8,29.65400478856102,-1.0,28.0,-1.0,75.0
1,5,in_degree,0.6,0.48989794855663565,1.0,1.0,0.0,1.0
1,5,ancestor_count,1.6,0.4898979485566356,2.0,1.0,1.0,2.0
