cluster,cluster_size,property,mean,std,median,iqr,min,max
-1,10000,stopping_time,5.1838,10.070601648362425,1.0,2.75,0.0,132.0
-1,10000,total_stopping_time,84.9666,46.58853383011747,73.0,80.0,0.0,261.0
-1,10000,maximum_excursion,58996.4843,413659.4561162139,13336.0,23040.0,1.0,27114424.0
-1,10000,binary_length,12.3631,1.4876351669680306,13.0,1.0,1.0,14.0
-1,10000,level_set,28.3156,43.48710839593729,-1.0,46.0,-1.0,160.0
-1,10000,distance_from_root,28.3156,43.48710839593729,-1.0,46.0,-1.0,160.0
-1,10000,in_degree,0.6667,0.6235471994965578,1.0,1.0,0.0,2.0
-1,10000,ancestor_count,1.6672,0.624695253703756,2.0,1.0,1.0,4.0
