cluster,cluster_size,property,mean,std,median,iqr,min,max
0,4933,stopping_time,5.020879789174944,9.788031693851261,1.0,2.0,1.0,132.0
0,4933,total_stopping_time,84.60510845327387,46.849195312324426,73.0,80.0,1.0,259.0
0,4933,maximum_excursion,61608.55584836813,497653.05867412256,13360.0,22032.0,2.0,27114424.0
0,4933,binary_length,12.3744171903507,1.4734250714564634,13.0,1.0,2.0,14.0
0,4933,level_set,27.93776606527468,43.32519767683094,-1.0,45.0,-1.0,160.0
0,4933,distance_from_root,27.93776606527468,43.32519767683094,-1.0,45.0,-1.0,160.0
0,4933,in_degree,0.6610581796067302,0.6214767755814842,1.0,1.0,0.0,2.0
0,4933,ancestor_count,1.6616663288060005,0.6229480571711817,2.0,1.0,1.0,4.0
1,5067,stopping_time,5.3424116834418784,10.335815089297013,3.0,5.0,0.0,130.0
1,5067,total_stopping_time,85.31853167554766,46.330647425196915,75.0,80.0,0.0,261.0
1,5067,maximum_excursion,56453.49062561674,310774.6458364303,13264.0,23922.0,1.0,8153620.0
1,5067,binary_length,12.352082099861851,1.5012583061043223,13.0,1.0,1.0,14.0
1,5067,level_set,28.68344187882376,43.64101778316484,-1.0,47.0,-1.0,160.0
1,5067,distance_from_root,28.68344187882376,43.64101778316484,-1.0,47.0,-1.0,160.0
1,5067,in_degree,0.6721926189066508,0.6255074024816132,1.0,1.0,0.0,2.0
1,5067,ancestor_count,1.6725873297809355,0.6263445974758355,2.0,1.0,1.0,4.0
