cluster,cluster_size,property,mean,std,median,iqr,min,max
-1,10000,stopping_time,5.1911,10.40827463079256,1.0,2.0,0.0,210.0
-1,10000,total_stopping_time,101.0437,49.74785613782769,93.0,80.0,0.0,313.0
-1,10000,maximum_excursion,276061.6865,1816187.9321143327,70924.0,145991.0,1.0,106358020.0
-1,10000,binary_length,14.6892,1.471395038730252,15.0,2.0,1.0,16.0
-1,10000,level_set,32.8697,49.38062496475718,-1.0,58.0,-1.0,189.0
-1,10000,distance_from_root,32.8697,49.38062496475718,-1.0,58.0,-1.0,189.0
-1,10000,in_degree,0.6747,0.6200644401995651,1.0,1.0,0.0,2.0
-1,10000,ancestor_count,1.6749,0.6204917324187326,2.0,1.0,1.0,4.0
