target_property,model_name,is_log_transformed,r2_mean,r2_std,r2_oof,mae_mean,mae_std,mae_oof,rmse_mean,rmse_std,rmse_oof,accuracy_exact,accuracy_pm1,accuracy_pm2
stopping_time,RandomForest,False,-0.08017691431352354,0.021632929112563693,-0.07736459263710982,5.761957,0.11305460125974529,5.761957000000001,10.4376246240086,0.5648858453611224,10.45289930162919,0.0324,0.073,0.1858
maximum_excursion,RandomForest,True,-0.01685450640821835,0.008962719765872993,-0.016405755204295103,0.4438467074538933,0.007516000735071537,0.4438467074538933,0.6185005651006151,0.013907997022796917,0.6186569173709823,0.0564,0.0564,0.1373
binary_length,RandomForest,False,-0.02803238696899535,0.012164924990879622,-0.02684988352250417,1.133127,0.016602503606384114,1.133127,1.5068653747108705,0.04284264811455997,1.5074742949715596,0.2418,0.5868,0.8848
level_set,RandomForest,False,-0.01962653995011694,0.003172367544073079,-0.019355419946075703,35.393184,0.19667483574163613,35.393184,43.90444255957697,0.3634671000325988,43.905947032264315,0.0069,0.0124,0.0258
