algorithm,param_name,param_value,n_clusters,n_noise,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,n_fitted,n_metric_rows
KMeans,n_clusters,2,2,0,0.0,0.005555898416787386,278.9922934643778,13.38664337799332,50000,10000
KMeans,n_clusters,3,3,0,0.0,0.0047403802163898945,236.83091214507823,11.89558929474867,50000,10000
KMeans,n_clusters,4,4,0,0.0,0.004507027100771666,209.47428848398334,10.96683596855258,50000,10000
KMeans,n_clusters,5,5,0,0.0,0.004457739647477865,189.45983341076078,10.326787572793808,50000,10000
KMeans,n_clusters,6,6,0,0.0,0.004263059236109257,173.24193432602812,9.87000180420843,50000,10000
KMeans,n_clusters,7,7,0,0.0,0.0043578683398664,160.92194698737976,9.483965684655487,50000,10000
KMeans,n_clusters,8,8,0,0.0,0.004298292566090822,150.48265629518963,9.226047794738019,50000,10000
KMeans,n_clusters,9,9,0,0.0,0.004318790510296822,141.5155576692517,9.010729368296364,50000,10000
KMeans,n_clusters,10,10,0,0.0,0.0042390963062644005,133.94170151308512,8.769744981287564,50000,10000
KMeans,n_clusters,11,11,0,0.0,0.00431368313729763,127.26931727120245,8.604188146005777,50000,10000
KMeans,n_clusters,12,12,0,0.0,0.004411180969327688,121.2789175637439,8.413996854401363,50000,10000
KMeans,n_clusters,13,13,0,0.0,0.0043381196446716785,116.04675425376715,8.266592287111656,50000,10000
KMeans,n_clusters,14,14,0,0.0,0.00430305115878582,111.44314587834732,8.128563063561845,50000,10000
KMeans,n_clusters,15,15,0,0.0,0.004298646468669176,107.0416305162908,8.072098012261593,50000,10000
