node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,ollivier_ricci,branching_entropy,ancestor_density_k2,local_potential,flow_energy
8461,3,83,25384,14,83,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8462,1,39,28564,14,39,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8463,11,39,85696,14,39,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8464,1,34,8464,14,34,1,1,34,2,1,0.6666666666666666,0.0,0.6666666666666666,42.114336004120865,1.2069489608125612
8465,3,83,25396,14,83,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8466,1,202,695464,14,202,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8467,6,202,695464,14,202,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8468,1,34,8468,14,34,0,1,34,1,0,0.6666666666666666,0.0,1.0,41.7088708960127,0.0
8469,3,34,25408,14,34,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8470,1,57,19060,14,57,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8471,8,57,57184,14,57,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8472,1,34,8472,14,34,0,1,34,1,0,0.8,0.0,1.0,41.7088708960127,0.0
8473,3,57,28600,14,57,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8474,1,34,12712,14,34,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8475,42,109,217240,14,109,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8476,1,83,14308,14,83,1,1,-1,2,1,0.6666666666666666,0.0,0.6666666666666666,6.591673732008659,1.2069489608125827
8477,3,83,25432,14,83,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8478,1,83,42928,14,83,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8479,16,83,128788,14,83,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8480,1,127,9232,14,127,0,1,127,1,0,0.6666666666666666,0.0,1.0,155.09941456776627,0.0
8481,3,109,39364,14,109,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8482,1,109,39364,14,109,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8483,6,109,39364,14,109,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8484,1,109,39364,14,109,0,1,-1,1,0,0.8,0.0,1.0,9.769727562356604,0.0
8485,3,109,39364,14,109,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8486,1,109,39364,14,109,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8487,13,140,176740,14,140,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8488,1,127,9232,14,127,1,1,127,2,1,0.6666666666666666,0.0,0.6666666666666666,155.50487967587443,1.2069489608125767
8489,3,65,96712,14,65,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8490,1,127,12736,14,127,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8491,8,109,103336,14,109,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8492,1,34,9556,14,34,0,1,34,1,0,0.6666666666666666,0.0,1.0,41.13350675110914,0.0
8493,3,34,25480,14,34,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8494,1,34,28672,14,34,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8495,21,83,86020,14,83,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8496,1,127,9232,14,127,0,1,127,1,0,0.8,0.0,1.0,154.81173249531452,0.0
8497,3,127,25492,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8498,1,127,14344,14,127,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8499,6,127,38248,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8500,1,127,9232,14,127,1,1,127,2,1,0.6666666666666666,0.0,0.6666666666666666,155.21719760342268,1.2069489608125767
8501,3,127,25504,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8502,1,83,48436,14,83,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8503,8,83,57400,14,83,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8504,1,78,8504,14,78,0,1,78,1,0,0.6666666666666666,0.0,1.0,94.36304268418618,0.0
8505,3,83,36340,14,83,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8506,1,78,12760,14,78,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8507,11,78,43072,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8508,1,78,21544,14,78,0,1,-1,1,0,0.8,0.0,1.0,6.1862086239004945,0.0
8509,3,78,25528,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8510,1,202,6810136,14,202,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8511,44,202,6810136,14,202,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8512,1,34,8512,14,34,1,1,34,2,1,0.6666666666666666,0.0,0.6666666666666666,42.114336004120865,1.2069489608125612
8513,3,127,25540,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8514,1,39,18196,14,39,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8515,6,39,38320,14,39,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8516,1,127,9232,14,127,0,1,127,1,0,0.6666666666666666,0.0,1.0,155.09941456776627,0.0
8517,3,127,25552,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8518,1,127,19168,14,127,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8519,29,158,163780,14,158,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8520,1,78,12148,14,78,0,1,-1,1,0,0.8,0.0,1.0,15.838153150600712,0.0
8521,3,78,43144,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8522,1,78,12784,14,78,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8523,8,127,38356,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8524,1,78,12148,14,78,1,1,-1,2,1,0.6666666666666666,0.0,0.6666666666666666,15.955936186257096,1.2069489608125807
8525,3,78,25576,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8526,1,127,599056,14,127,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8527,13,127,599056,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8528,1,34,8528,14,34,0,1,34,1,0,0.6666666666666666,0.0,1.0,41.99655296846448,0.0
8529,3,78,36448,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8530,1,171,138400,14,171,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8531,6,171,138400,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8532,1,34,8532,14,34,0,1,34,1,0,0.8,0.0,1.0,41.42118882356092,0.0
8533,3,34,25600,14,34,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8534,1,127,19204,14,127,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8535,8,127,57616,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8536,1,65,8536,14,65,1,1,65,2,1,0.6666666666666666,0.0,0.6666666666666666,80.19886596715713,1.206948960812608
8537,3,171,28816,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8538,1,65,12808,14,65,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8539,16,127,64852,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8540,1,65,14416,14,65,0,1,-1,1,0,0.6666666666666666,0.0,1.0,6.473890696352275,0.0
8541,3,65,25624,14,65,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8542,1,171,43252,14,171,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8543,13,171,129760,14,171,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8544,1,26,8544,14,26,0,1,26,1,0,0.8,0.0,1.0,31.481562224408922,0.0
8545,3,127,32452,14,127,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8546,1,65,12820,14,65,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8547,6,65,38464,14,65,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8548,1,65,8548,14,65,1,1,65,2,1,0.6666666666666666,0.0,0.6666666666666666,79.62350182225357,1.2069489608125767
8549,3,65,25648,14,65,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8550,1,65,19240,14,65,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8551,26,78,219184,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8552,1,26,8552,14,26,0,1,26,1,0,0.6666666666666666,0.0,1.0,32.056926369312485,0.0
8553,3,52,64960,14,52,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8554,1,26,12832,14,26,1,1,-1,2,1,0.7333333333333334,0.0,0.6666666666666666,1.0986122886681098,1.206948960812582
8555,8,52,38500,14,52,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8556,1,78,61720,14,78,0,1,-1,1,0,0.8,0.0,1.0,9.482045489904824,0.0
8557,3,78,61720,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8558,1,78,61720,14,78,0,1,-1,1,0,1.0,0.0,1.0,0.6931471805599453,0.0
8559,16,78,97504,14,78,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
8560,1,26,8560,14,26,1,1,26,2,1,0.6666666666666666,0.0,0.6666666666666666,32.46239147742065,1.2069489608125767
8561,3,26,25684,14,26,0,0,-1,1,0,0.0,0.0,1.0,0.0,0.0
