node,stopping_time,total_stopping_time,maximum_excursion,binary_length,parity_vector_length,in_degree,out_degree,distance_from_root,ancestor_count,branching_factor,ollivier_ricci,branching_entropy,ancestor_density_k2,local_potential,flow_energy
1,0,0,1,1,0,1,1,0,4,1,0.9285714285714286,0.0,1.3333333333333333,0.0,2.5902903939802346
2,1,1,2,2,1,1,1,1,4,1,0.9285714285714286,0.0,1.0,1.6094379124341003,2.5902903939802346
3,6,7,16,2,7,1,1,7,2,1,0.6190476190476191,0.0,0.6666666666666666,9.287301413112312,1.2069489608125807
4,1,2,4,3,2,2,1,2,4,2,0.7619047619047619,0.6365141682928128,0.8,3.2188758248682006,11.56811053673352
5,3,5,16,3,5,1,1,5,2,1,0.5714285714285714,0.0,0.5,6.802394763324311,1.9218120556728038
6,1,8,16,3,8,1,1,8,2,1,0.6666666666666666,0.0,0.6666666666666666,10.38591370178042,1.2069489608125807
7,11,16,52,3,16,1,1,16,2,1,0.6190476190476191,0.0,0.6666666666666666,20.32554030093242,1.2069489608125767
8,1,3,8,4,3,1,1,3,2,1,0.5714285714285714,0.0,0.5,4.31748811353631,1.9218120556728062
9,3,19,52,4,19,1,1,19,2,1,0.6190476190476191,0.0,0.6666666666666666,23.90905923938853,1.2069489608125925
10,1,6,16,4,6,2,1,6,3,2,0.5714285714285714,0.6931471805579453,0.6,8.1886891244442,2.413897921625169
11,8,14,52,4,14,1,1,14,2,1,0.5714285714285714,0.0,0.5,17.84063365114442,1.9218120556728062
12,1,9,16,4,9,1,1,9,2,1,0.6666666666666666,0.0,0.6666666666666666,11.48452599044853,1.2069489608125807
13,3,9,40,4,9,1,1,9,2,1,0.6190476190476191,0.0,0.6666666666666666,11.77220806290031,1.2069489608125807
14,1,17,52,4,17,1,1,17,2,1,0.6190476190476191,0.0,0.5,21.424152589600528,1.921812055672816
15,11,17,160,4,17,1,1,17,2,1,0.6190476190476191,0.0,0.6666666666666666,21.71183466205231,1.2069489608125845
16,1,4,16,5,4,2,1,4,3,2,0.5714285714285714,0.6931471805579453,0.6,5.703782474656201,2.4138979216251655
17,3,12,52,5,12,1,1,12,2,1,0.5714285714285714,0.0,0.5,15.355727001356419,1.921812055672811
18,1,20,52,5,20,1,1,20,2,1,0.6666666666666666,0.0,0.6666666666666666,25.007671528056644,1.2069489608125767
19,6,20,88,5,20,1,1,20,2,1,0.6190476190476191,0.0,0.6666666666666666,25.295353600508424,1.2069489608125767
20,1,7,20,5,7,1,1,7,2,1,0.5714285714285714,0.0,0.5,9.287301413112312,1.9218120556728013
21,3,7,64,5,7,1,1,7,2,1,0.6190476190476191,0.0,0.6666666666666666,9.287301413112312,1.2069489608125807
22,1,15,52,5,15,2,1,15,3,2,0.5714285714285714,0.6931471805579453,0.6,19.22692801226431,2.413897921625169
23,8,15,160,5,15,1,1,15,2,1,0.5714285714285714,0.0,0.5,19.22692801226431,1.9218120556728062
24,1,10,24,5,10,1,1,10,2,1,0.6666666666666666,0.0,0.6666666666666666,12.583138279116639,1.2069489608125807
25,3,23,88,5,23,1,1,23,2,1,0.6190476190476191,0.0,0.6666666666666666,28.878872538964536,1.2069489608125845
26,1,10,40,5,10,1,1,10,2,1,0.6190476190476191,0.0,0.5,12.870820351568419,1.9218120556728062
27,96,111,9232,5,111,1,1,111,2,1,0.6190476190476191,0.0,0.6666666666666666,135.9133085500222,1.2069489608126394
28,1,18,52,5,18,2,1,18,3,2,0.5714285714285714,0.6931471805579453,0.6,22.810446950720422,2.4138979216251535
29,3,18,88,5,18,1,1,18,2,1,0.5714285714285714,0.0,0.5,22.810446950720422,1.9218120556728062
30,1,18,160,5,18,1,1,18,2,1,0.6666666666666666,0.0,0.6666666666666666,22.810446950720422,1.2069489608125845
31,91,106,9232,5,106,1,1,106,2,1,0.6190476190476191,0.0,0.6666666666666666,129.84488296177813,1.2069489608125767
32,1,5,32,6,5,1,1,5,2,1,0.5714285714285714,0.0,0.5,6.802394763324311,1.9218120556728038
33,3,26,100,6,26,1,1,26,2,1,0.6190476190476191,0.0,0.6666666666666666,32.46239147742065,1.2069489608125767
34,1,13,52,6,13,2,1,13,3,2,0.5714285714285714,0.6931471805579453,0.6,16.74202136247631,2.4138979216251535
35,6,13,160,6,13,1,1,13,2,1,0.5714285714285714,0.0,0.5,16.74202136247631,1.9218120556728062
36,1,21,52,6,21,1,1,21,2,1,0.6666666666666666,0.0,0.6666666666666666,26.10628381672475,1.2069489608125845
37,3,21,112,6,21,1,1,21,2,1,0.6190476190476191,0.0,0.6666666666666666,26.39396588917653,1.2069489608125925
38,1,21,88,6,21,1,1,21,2,1,0.6190476190476191,0.0,0.5,26.39396588917653,1.921812055672816
39,13,34,304,6,34,1,1,34,2,1,0.6190476190476191,0.0,0.6666666666666666,42.402018076572645,1.2069489608125612
40,1,8,40,6,8,2,1,8,3,2,0.5714285714285714,0.6931471805579453,0.6,10.6735957742322,2.4138979216251615
41,3,109,9232,6,109,1,1,109,2,1,0.5714285714285714,0.0,0.5,133.4284019002342,1.921812055672816
42,1,8,64,6,8,1,1,8,2,1,0.6666666666666666,0.0,0.6666666666666666,10.38591370178042,1.2069489608125807
43,8,29,196,6,29,1,1,29,2,1,0.6190476190476191,0.0,0.6666666666666666,36.04591041587676,1.2069489608125925
44,1,16,52,6,16,1,1,16,2,1,0.5714285714285714,0.0,0.5,20.32554030093242,1.9218120556728062
45,3,16,136,6,16,1,1,16,2,1,0.6190476190476191,0.0,0.6666666666666666,20.32554030093242,1.2069489608125767
46,1,16,160,6,16,2,1,16,3,2,0.5714285714285714,0.6931471805579453,0.6,20.6132223733842,2.413897921625169
47,88,104,9232,6,104,1,1,104,2,1,0.5714285714285714,0.0,0.5,127.35997631199012,1.921812055672816
48,1,11,48,6,11,1,1,11,2,1,0.6666666666666666,0.0,0.6666666666666666,13.681750567784748,1.2069489608125845
49,3,24,148,6,24,1,1,24,2,1,0.6190476190476191,0.0,0.6666666666666666,29.977484827632644,1.2069489608125925
50,1,24,88,6,24,1,1,24,2,1,0.6190476190476191,0.0,0.5,29.977484827632647,1.9218120556728062
51,6,24,232,6,24,1,1,24,2,1,0.6190476190476191,0.0,0.6666666666666666,30.265166900084427,1.2069489608125845
52,1,11,52,6,11,2,1,11,3,2,0.5714285714285714,0.6931471805579453,0.6,14.25711471268831,2.4138979216251615
53,3,11,160,6,11,1,1,11,2,1,0.5714285714285714,0.0,0.5,14.25711471268831,1.9218120556728062
54,1,112,9232,6,112,1,1,112,2,1,0.6666666666666666,0.0,0.6666666666666666,137.01192083869034,1.2069489608125143
55,8,112,9232,6,112,1,1,112,2,1,0.6190476190476191,0.0,0.6666666666666666,137.2996029111421,1.2069489608125767
56,1,19,56,6,19,1,1,19,2,1,0.5714285714285714,0.0,0.5,23.90905923938853,1.921812055672816
57,3,32,196,6,32,1,1,32,2,1,0.6190476190476191,0.0,0.6666666666666666,39.62942935433286,1.2069489608125767
58,1,19,88,6,19,2,1,19,3,2,0.5714285714285714,0.6931471805579453,0.6,24.196741311840313,2.413897921625169
59,11,32,304,6,32,1,1,32,2,1,0.5714285714285714,0.0,0.5,39.91711142678464,1.9218120556727962
60,1,19,160,6,19,1,1,19,2,1,0.6666666666666666,0.0,0.6666666666666666,23.909059239388533,1.2069489608125845
61,3,19,184,6,19,1,1,19,2,1,0.6190476190476191,0.0,0.6666666666666666,24.196741311840313,1.2069489608125845
62,1,107,9232,6,107,1,1,107,2,1,0.6190476190476191,0.0,0.5,130.94349525044623,1.9218120556727372
63,88,107,9232,6,107,1,1,107,2,1,0.6190476190476191,0.0,0.6666666666666666,131.231177322898,1.2069489608125767
64,1,6,64,7,6,2,1,6,3,2,0.5714285714285714,0.6931471805579453,0.6,8.1886891244442,2.413897921625169
65,3,27,196,7,27,1,1,27,2,1,0.5714285714285714,0.0,0.5,33.56100376608876,1.921812055672816
66,1,27,100,7,27,1,1,27,2,1,0.6666666666666666,0.0,0.6666666666666666,33.56100376608876,1.2069489608125925
67,6,27,304,7,27,1,1,27,2,1,0.6190476190476191,0.0,0.6666666666666666,33.84868583854055,1.2069489608125767
68,1,14,68,7,14,1,1,14,2,1,0.5714285714285714,0.0,0.5,17.84063365114442,1.9218120556728062
69,3,14,208,7,14,1,1,14,2,1,0.6190476190476191,0.0,0.6666666666666666,17.84063365114442,1.2069489608125845
70,1,14,160,7,14,2,1,14,3,2,0.5714285714285714,0.6931471805579453,0.6,18.128315723596202,2.4138979216251535
71,83,102,9232,7,102,1,1,102,2,1,0.5714285714285714,0.0,0.5,124.87506966220212,1.9218120556728555
72,1,22,72,7,22,1,1,22,2,1,0.6666666666666666,0.0,0.6666666666666666,27.204896105392862,1.2069489608125925
73,3,115,9232,7,115,1,1,115,2,1,0.6190476190476191,0.0,0.6666666666666666,140.8831218495982,1.2069489608126394
74,1,22,112,7,22,1,1,22,2,1,0.6190476190476191,0.0,0.5,27.492578177844646,1.9218120556728062
75,8,14,340,7,14,1,1,14,2,1,0.6190476190476191,0.0,0.6666666666666666,17.84063365114442,1.2069489608125845
76,1,22,88,7,22,2,1,22,3,2,0.5714285714285714,0.6931471805579453,0.6,27.780260250296426,2.413897921625169
77,3,22,232,7,22,1,1,22,2,1,0.5714285714285714,0.0,0.5,27.780260250296426,1.9218120556728062
78,1,35,304,7,35,1,1,35,2,1,0.6666666666666666,0.0,0.6666666666666666,43.500630365240745,1.2069489608125925
79,13,35,808,7,35,1,1,35,2,1,0.6190476190476191,0.0,0.6666666666666666,43.788312437692525,1.2069489608125767
80,1,9,80,7,9,1,1,9,2,1,0.5714285714285714,0.0,0.5,11.77220806290031,1.9218120556728062
81,3,22,244,7,22,1,1,22,2,1,0.6190476190476191,0.0,0.6666666666666666,27.780260250296426,1.2069489608125845
82,1,110,9232,7,110,2,1,110,3,2,0.5714285714285714,0.6931471805579453,0.6,134.8146962613541,2.4138979216251535
83,6,110,9232,7,110,1,1,110,2,1,0.5714285714285714,0.0,0.5,134.8146962613541,1.921812055672816
84,1,9,84,7,9,1,1,9,2,1,0.6666666666666666,0.0,0.6666666666666666,11.48452599044853,1.2069489608125807
85,3,9,256,7,9,1,1,9,2,1,0.6190476190476191,0.0,0.6666666666666666,11.77220806290031,1.2069489608125807
86,1,30,196,7,30,1,1,30,2,1,0.6190476190476191,0.0,0.5,37.144522704544876,1.9218120556727767
87,8,30,592,7,30,1,1,30,2,1,0.6190476190476191,0.0,0.6666666666666666,37.432204776996656,1.2069489608125612
88,1,17,88,7,17,2,1,17,3,2,0.5714285714285714,0.6931471805579453,0.6,21.71183466205231,2.413897921625169
89,3,30,304,7,30,1,1,30,2,1,0.5714285714285714,0.0,0.5,37.43220477699665,1.9218120556727962
90,1,17,136,7,17,1,1,17,2,1,0.6666666666666666,0.0,0.6666666666666666,21.424152589600528,1.2069489608125925
91,73,92,9232,7,92,1,1,92,2,1,0.6190476190476191,0.0,0.6666666666666666,112.7382184857139,1.206948960812608
92,1,17,160,7,17,1,1,17,2,1,0.5714285714285714,0.0,0.5,21.71183466205231,1.9218120556728062
93,3,17,280,7,17,1,1,17,2,1,0.6190476190476191,0.0,0.6666666666666666,21.71183466205231,1.2069489608125845
94,1,105,9232,7,105,2,1,105,3,2,0.5714285714285714,0.6931471805579453,0.6,128.74627067311002,2.4138979216251535
95,13,105,9232,7,105,1,1,105,2,1,0.5714285714285714,0.0,0.5,128.74627067311002,1.9218120556727372
96,1,12,96,7,12,1,1,12,2,1,0.6666666666666666,0.0,0.6666666666666666,14.780362856452859,1.2069489608125807
97,3,118,9232,7,118,1,1,118,2,1,0.6190476190476191,0.0,0.6666666666666666,144.46664078805435,1.2069489608125143
98,1,25,148,7,25,1,1,25,2,1,0.6190476190476191,0.0,0.5,31.076097116300758,1.9218120556727962
99,6,25,448,7,25,1,1,25,2,1,0.6190476190476191,0.0,0.6666666666666666,31.363779188752538,1.2069489608125767
100,1,25,100,7,25,2,1,25,3,2,0.5714285714285714,0.6931471805579453,0.6,31.363779188752538,2.413897921625185
101,3,25,304,7,25,1,1,25,2,1,0.5714285714285714,0.0,0.5,31.363779188752538,1.921812055672816
102,1,25,232,7,25,1,1,25,2,1,0.6666666666666666,0.0,0.6666666666666666,31.363779188752538,1.2069489608125925
103,68,87,9232,7,87,1,1,87,2,1,0.6190476190476191,0.0,0.6666666666666666,106.6697928974698,1.2069489608125767
104,1,12,104,7,12,1,1,12,2,1,0.5714285714285714,0.0,0.5,15.355727001356419,1.921812055672811
105,3,38,808,7,38,1,1,38,2,1,0.6190476190476191,0.0,0.6666666666666666,47.37183137614863,1.2069489608125925
106,1,12,160,7,12,2,1,12,3,2,0.5714285714285714,0.6931471805579453,0.6,15.6434090738082,2.413897921625169
107,8,100,9232,7,100,1,1,100,2,1,0.5714285714285714,0.0,0.5,122.39016301241412,1.9218120556728555
108,1,113,9232,7,113,1,1,113,2,1,0.6666666666666666,0.0,0.6666666666666666,138.11053312735842,1.2069489608126394
109,3,113,9232,7,113,1,1,113,2,1,0.6190476190476191,0.0,0.6666666666666666,138.3982151998102,1.2069489608125767
110,1,113,9232,7,113,1,1,113,2,1,0.6190476190476191,0.0,0.5,138.3982151998102,1.921812055672816
111,50,69,9232,7,69,1,1,69,2,1,0.6190476190476191,0.0,0.6666666666666666,84.59331512182959,1.2069489608125767
112,1,20,112,7,20,2,1,20,3,2,0.5714285714285714,0.6931471805579453,0.6,25.295353600508424,2.4138979216251535
113,3,12,340,7,12,1,1,12,2,1,0.5714285714285714,0.0,0.5,15.355727001356419,1.921812055672811
114,1,33,196,7,33,1,1,33,2,1,0.6666666666666666,0.0,0.6666666666666666,40.72804164300097,1.2069489608125767
115,6,33,520,7,33,1,1,33,2,1,0.6190476190476191,0.0,0.6666666666666666,41.01572371545275,1.2069489608125767
116,1,20,116,7,20,1,1,20,2,1,0.5714285714285714,0.0,0.5,25.295353600508424,1.9218120556728062
117,3,20,352,7,20,1,1,20,2,1,0.6190476190476191,0.0,0.6666666666666666,25.295353600508424,1.2069489608125767
118,1,33,304,7,33,2,1,33,3,2,0.5714285714285714,0.6931471805579453,0.6,41.30340578790453,2.413897921625185
119,8,33,808,7,33,1,1,33,2,1,0.5714285714285714,0.0,0.5,41.30340578790453,1.9218120556727962
120,1,20,160,7,20,1,1,20,2,1,0.6666666666666666,0.0,0.6666666666666666,25.007671528056644,1.2069489608125767
121,3,95,9232,7,95,1,1,95,2,1,0.6190476190476191,0.0,0.6666666666666666,116.32173742417002,1.2069489608125767
122,1,20,184,7,20,1,1,20,2,1,0.6190476190476191,0.0,0.5,25.295353600508424,1.9218120556728062
123,13,46,628,7,46,1,1,46,2,1,0.6190476190476191,0.0,0.6666666666666666,57.023775902848826,1.2069489608125925
124,1,108,9232,7,108,2,1,108,3,2,0.5714285714285714,0.6931471805579453,0.6,132.3297896115661,2.4138979216251535
125,3,108,9232,7,108,1,1,108,2,1,0.5714285714285714,0.0,0.5,132.3297896115661,1.921812055672816
126,1,108,9232,7,108,1,1,108,2,1,0.6666666666666666,0.0,0.6666666666666666,132.3297896115661,1.2069489608125767
127,24,46,4372,7,46,1,1,46,2,1,0.6190476190476191,0.0,0.6666666666666666,57.311457975300605,1.2069489608125925
128,1,7,128,8,7,1,1,7,2,1,0.5714285714285714,0.0,0.5,9.287301413112312,1.9218120556728013
129,3,121,9232,8,121,1,1,121,2,1,0.6190476190476191,0.0,0.6666666666666666,148.05015972651043,1.2069489608126394
130,1,28,196,8,28,2,1,28,3,2,0.5714285714285714,0.6931471805579453,0.6,34.947298127208654,2.4138979216251535
131,6,28,592,8,28,1,1,28,2,1,0.5714285714285714,0.0,0.5,34.947298127208654,1.9218120556727962
132,1,28,132,8,28,1,1,28,2,1,0.6666666666666666,0.0,0.6666666666666666,34.659616054756874,1.2069489608125767
133,3,28,400,8,28,1,1,28,2,1,0.6190476190476191,0.0,0.6666666666666666,34.947298127208654,1.2069489608125925
134,1,28,304,8,28,1,1,28,2,1,0.6190476190476191,0.0,0.5,34.947298127208654,1.9218120556727962
135,11,41,916,8,41,1,1,41,2,1,0.6190476190476191,0.0,0.6666666666666666,50.66766824215295,1.2069489608125767
136,1,15,136,8,15,2,1,15,3,2,0.5714285714285714,0.6931471805579453,0.6,19.22692801226431,2.413897921625169
137,3,90,9232,8,90,1,1,90,2,1,0.5714285714285714,0.0,0.5,110.2533118359259,1.921812055672816
138,1,15,208,8,15,1,1,15,2,1,0.6666666666666666,0.0,0.6666666666666666,18.93924593981253,1.2069489608125845
139,8,41,628,8,41,1,1,41,2,1,0.6190476190476191,0.0,0.6666666666666666,50.955350314604736,1.2069489608125767
140,1,15,160,8,15,1,1,15,2,1,0.5714285714285714,0.0,0.5,19.22692801226431,1.9218120556728062
141,3,15,424,8,15,1,1,15,2,1,0.6190476190476191,0.0,0.6666666666666666,19.22692801226431,1.2069489608125845
142,1,103,9232,8,103,2,1,103,3,2,0.5714285714285714,0.6931471805579453,0.6,126.26136402332203,2.4138979216250913
143,11,103,9232,8,103,1,1,103,2,1,0.5714285714285714,0.0,0.5,126.26136402332203,1.9218120556727767
144,1,23,144,8,23,1,1,23,2,1,0.6666666666666666,0.0,0.6666666666666666,28.303508394060977,1.2069489608125767
145,3,116,9232,8,116,1,1,116,2,1,0.6190476190476191,0.0,0.6666666666666666,141.98173413826632,1.2069489608125767
146,1,116,9232,8,116,1,1,116,2,1,0.6190476190476191,0.0,0.5,141.98173413826635,1.9218120556727372
147,6,116,9232,8,116,1,1,116,2,1,0.6190476190476191,0.0,0.6666666666666666,142.2694162107181,1.2069489608125767
148,1,23,148,8,23,2,1,23,3,2,0.5714285714285714,0.6931471805579453,0.6,28.878872538964536,2.4138979216251535
149,3,23,448,8,23,1,1,23,2,1,0.5714285714285714,0.0,0.5,28.878872538964536,1.9218120556728062
150,1,15,340,8,15,1,1,15,2,1,0.6666666666666666,0.0,0.6666666666666666,18.93924593981253,1.2069489608125845
151,8,15,1024,8,15,1,1,15,2,1,0.6190476190476191,0.0,0.6666666666666666,19.22692801226431,1.2069489608125845
152,1,23,152,8,23,1,1,23,2,1,0.5714285714285714,0.0,0.5,28.878872538964536,1.9218120556728062
153,3,36,520,8,36,1,1,36,2,1,0.6190476190476191,0.0,0.6666666666666666,44.59924265390885,1.2069489608125925
154,1,23,232,8,23,2,1,23,3,2,0.5714285714285714,0.6931471805579453,0.6,29.166554611416316,2.413897921625169
155,65,85,9232,8,85,1,1,85,2,1,0.5714285714285714,0.0,0.5,104.18488624768182,1.9218120556727767
156,1,36,304,8,36,1,1,36,2,1,0.6666666666666666,0.0,0.6666666666666666,44.59924265390886,1.2069489608125612
157,3,36,472,8,36,1,1,36,2,1,0.6190476190476191,0.0,0.6666666666666666,44.88692472636063,1.2069489608125767
158,1,36,808,8,36,1,1,36,2,1,0.6190476190476191,0.0,0.5,44.88692472636063,1.9218120556727962
159,34,54,9232,8,54,1,1,54,2,1,0.6190476190476191,0.0,0.6666666666666666,66.38803835709724,1.2069489608125767
160,1,10,160,8,10,2,1,10,3,2,0.5714285714285714,0.6931471805579453,0.6,13.1585024240202,2.4138979216251615
161,3,98,9232,8,98,1,1,98,2,1,0.5714285714285714,0.0,0.5,119.90525636262613,1.9218120556727767
162,1,23,244,8,23,1,1,23,2,1,0.6666666666666666,0.0,0.6666666666666666,28.878872538964536,1.2069489608125845
163,6,23,736,8,23,1,1,23,2,1,0.6190476190476191,0.0,0.6666666666666666,29.166554611416316,1.2069489608125845
164,1,111,9232,8,111,1,1,111,2,1,0.5714285714285714,0.0,0.5,135.9133085500222,1.921812055672816
165,3,111,9232,8,111,1,1,111,2,1,0.6190476190476191,0.0,0.6666666666666666,135.9133085500222,1.2069489608126394
166,1,111,9232,8,111,2,1,111,3,2,0.5714285714285714,0.6931471805579453,0.6,136.200990622474,2.4138979216251535
167,47,67,9232,8,67,1,1,67,2,1,0.5714285714285714,0.0,0.5,82.10840847204157,1.9218120556728555
168,1,10,168,8,10,1,1,10,2,1,0.6666666666666666,0.0,0.6666666666666666,12.583138279116639,1.2069489608125807
169,3,49,4372,8,49,1,1,49,2,1,0.6190476190476191,0.0,0.6666666666666666,60.894976913756715,1.2069489608125767
170,1,10,256,8,10,1,1,10,2,1,0.6190476190476191,0.0,0.5,12.870820351568419,1.9218120556728062
171,8,124,9232,8,124,1,1,124,2,1,0.6190476190476191,0.0,0.6666666666666666,151.63367866496657,1.2069489608125767
172,1,31,196,8,31,2,1,31,3,2,0.5714285714285714,0.6931471805579453,0.6,38.530817065664756,2.4138979216251535
173,3,31,520,8,31,1,1,31,2,1,0.5714285714285714,0.0,0.5,38.530817065664756,1.921812055672816
174,1,31,592,8,31,1,1,31,2,1,0.6666666666666666,0.0,0.6666666666666666,38.530817065664756,1.2069489608125925
175,13,80,9232,8,80,1,1,80,2,1,0.6190476190476191,0.0,0.6666666666666666,98.1164606594377,1.2069489608125457
176,1,18,176,8,18,1,1,18,2,1,0.5714285714285714,0.0,0.5,22.810446950720422,1.9218120556728062
177,3,31,532,8,31,1,1,31,2,1,0.6190476190476191,0.0,0.6666666666666666,38.530817065664756,1.2069489608125767
178,1,31,304,8,31,2,1,31,3,2,0.5714285714285714,0.6931471805579453,0.6,38.818499138116536,2.4138979216251535
179,6,31,808,8,31,1,1,31,2,1,0.5714285714285714,0.0,0.5,38.818499138116536,1.9218120556727962
180,1,18,180,8,18,1,1,18,2,1,0.6666666666666666,0.0,0.6666666666666666,22.522764878268642,1.2069489608125767
181,3,18,544,8,18,1,1,18,2,1,0.6190476190476191,0.0,0.6666666666666666,22.810446950720422,1.2069489608125767
182,1,93,9232,8,93,1,1,93,2,1,0.6190476190476191,0.0,0.5,113.83683077438202,1.921812055672816
183,8,93,9232,8,93,1,1,93,2,1,0.6190476190476191,0.0,0.6666666666666666,114.1245128468338,1.206948960812608
184,1,18,184,8,18,2,1,18,3,2,0.5714285714285714,0.6931471805579453,0.6,23.098129023172202,2.413897921625169
185,3,44,628,8,44,1,1,44,2,1,0.5714285714285714,0.0,0.5,54.53886925306083,1.921812055672816
186,1,18,280,8,18,1,1,18,2,1,0.6666666666666666,0.0,0.6666666666666666,22.810446950720422,1.2069489608125845
187,11,44,952,8,44,1,1,44,2,1,0.6190476190476191,0.0,0.6666666666666666,54.82655132551261,1.2069489608125925
188,1,106,9232,8,106,1,1,106,2,1,0.5714285714285714,0.0,0.5,129.84488296177813,1.9218120556727372
189,3,106,9232,8,106,1,1,106,2,1,0.6190476190476191,0.0,0.6666666666666666,129.84488296177813,1.2069489608125767
190,1,106,9232,8,106,2,1,106,3,2,0.5714285714285714,0.6931471805579453,0.6,130.13256503422988,2.4138979216251535
191,21,44,4372,8,44,1,1,44,2,1,0.5714285714285714,0.0,0.5,54.82655132551261,1.9218120556727962
192,1,13,192,8,13,1,1,13,2,1,0.6666666666666666,0.0,0.6666666666666666,15.878975145120968,1.2069489608125845
193,3,119,9232,8,119,1,1,119,2,1,0.6190476190476191,0.0,0.6666666666666666,145.56525307672243,1.2069489608126394
194,1,119,9232,8,119,1,1,119,2,1,0.6190476190476191,0.0,0.5,145.56525307672243,1.921812055672816
195,6,119,9232,8,119,1,1,119,2,1,0.6190476190476191,0.0,0.6666666666666666,145.85293514917421,1.2069489608125767
196,1,26,196,8,26,2,1,26,3,2,0.5714285714285714,0.6931471805579453,0.6,32.462391477420645,2.413897921625185
197,3,26,592,8,26,1,1,26,2,1,0.5714285714285714,0.0,0.5,32.462391477420645,1.9218120556728358
198,1,26,448,8,26,1,1,26,2,1,0.6666666666666666,0.0,0.6666666666666666,32.462391477420645,1.2069489608125925
199,13,119,9232,8,119,1,1,119,2,1,0.6190476190476191,0.0,0.6666666666666666,145.85293514917421,1.2069489608125767
200,1,26,200,8,26,1,1,26,2,1,0.5714285714285714,0.0,0.5,32.46239147742065,1.921812055672816
201,3,18,1024,8,18,1,1,18,2,1,0.6190476190476191,0.0,0.6666666666666666,22.810446950720422,1.2069489608125845
202,1,26,304,8,26,2,1,26,3,2,0.5714285714285714,0.6931471805579453,0.6,32.75007354987243,2.413897921625185
203,8,39,916,8,39,1,1,39,2,1,0.5714285714285714,0.0,0.5,48.182761592364955,1.921812055672816
204,1,26,232,8,26,1,1,26,2,1,0.6666666666666666,0.0,0.6666666666666666,32.46239147742065,1.2069489608125767
205,3,26,616,8,26,1,1,26,2,1,0.6190476190476191,0.0,0.6666666666666666,32.75007354987243,1.2069489608125925
206,1,88,9232,8,88,1,1,88,2,1,0.6190476190476191,0.0,0.5,107.76840518613791,1.9218120556727767
207,21,88,9232,8,88,1,1,88,2,1,0.6190476190476191,0.0,0.6666666666666666,108.05608725858968,1.2069489608125767
208,1,13,208,8,13,2,1,13,3,2,0.5714285714285714,0.6931471805579453,0.6,16.74202136247631,2.4138979216251535
209,3,39,628,8,39,1,1,39,2,1,0.5714285714285714,0.0,0.5,48.470443664816734,1.9218120556727962
210,1,39,808,8,39,1,1,39,2,1,0.6666666666666666,0.0,0.6666666666666666,48.47044366481674,1.2069489608125767
211,6,39,952,8,39,1,1,39,2,1,0.6190476190476191,0.0,0.6666666666666666,48.758125737268514,1.2069489608125767
212,1,13,212,8,13,1,1,13,2,1,0.5714285714285714,0.0,0.5,16.74202136247631,1.9218120556728062
213,3,13,640,8,13,1,1,13,2,1,0.6190476190476191,0.0,0.6666666666666666,16.74202136247631,1.2069489608125767
214,1,101,9232,8,101,2,1,101,3,2,0.5714285714285714,0.6931471805579453,0.6,123.77645737353403,2.4138979216250913
215,8,101,9232,8,101,1,1,101,2,1,0.5714285714285714,0.0,0.5,123.77645737353403,1.9218120556727767
216,1,114,9232,8,114,1,1,114,2,1,0.6666666666666666,0.0,0.6666666666666666,139.20914541602656,1.2069489608125143
217,3,26,736,8,26,1,1,26,2,1,0.6190476190476191,0.0,0.6666666666666666,32.75007354987243,1.2069489608125925
218,1,114,9232,8,114,1,1,114,2,1,0.6190476190476191,0.0,0.5,139.49682748847832,1.921812055672816
219,13,52,1672,8,52,1,1,52,2,1,0.6190476190476191,0.0,0.6666666666666666,64.47849585221282,1.2069489608125767
220,1,114,9232,8,114,2,1,114,3,2,0.5714285714285714,0.6931471805579453,0.6,139.7845095609301,2.4138979216251535
221,3,114,9232,8,114,1,1,114,2,1,0.5714285714285714,0.0,0.5,139.7845095609301,1.921812055672816
222,1,70,9232,8,70,1,1,70,2,1,0.6666666666666666,0.0,0.6666666666666666,85.6919274104977,1.2069489608125767
223,50,70,9232,8,70,1,1,70,2,1,0.6190476190476191,0.0,0.6666666666666666,85.97960948294947,1.2069489608125767
224,1,21,224,8,21,1,1,21,2,1,0.5714285714285714,0.0,0.5,26.39396588917653,1.921812055672816
225,3,52,4372,8,52,1,1,52,2,1,0.6190476190476191,0.0,0.6666666666666666,64.47849585221282,1.2069489608125767
226,1,13,340,8,13,2,1,13,3,2,0.5714285714285714,0.6931471805579453,0.6,16.74202136247631,2.4138979216251535
227,6,13,1024,8,13,1,1,13,2,1,0.5714285714285714,0.0,0.5,16.74202136247631,1.9218120556728062
228,1,34,228,8,34,1,1,34,2,1,0.6666666666666666,0.0,0.6666666666666666,41.82665393166908,1.2069489608125767
229,3,34,688,8,34,1,1,34,2,1,0.6190476190476191,0.0,0.6666666666666666,42.11433600412086,1.2069489608125925
230,1,34,520,8,34,1,1,34,2,1,0.6190476190476191,0.0,0.5,42.11433600412086,1.921812055672816
231,19,127,9232,8,127,1,1,127,2,1,0.6190476190476191,0.0,0.6666666666666666,155.50487967587446,1.2069489608125143
232,1,21,232,8,21,2,1,21,3,2,0.5714285714285714,0.6931471805579453,0.6,26.681647961628315,2.413897921625169
233,3,83,9232,8,83,1,1,83,2,1,0.5714285714285714,0.0,0.5,101.6999795978938,1.921812055672816
