algorithm,param_name,param_value,n_clusters,n_noise,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,n_fitted,n_metric_rows
KMeans,n_clusters,2,2,0,0.0,0.005544919054955244,275.7652428505505,13.464886649353621,50000,10000
KMeans,n_clusters,3,3,0,0.0,0.004769386723637581,236.52113147254772,11.90251944984814,50000,10000
KMeans,n_clusters,4,4,0,0.0,0.004441871773451567,208.74918981686258,10.988811164993873,50000,10000
KMeans,n_clusters,5,5,0,0.0,0.004403209779411554,188.00221405148952,10.36087225101099,50000,10000
KMeans,n_clusters,6,6,0,0.0,0.004354945383965969,173.0747165003153,9.888459392754134,50000,10000
KMeans,n_clusters,7,7,0,0.0,0.004393887240439653,160.48618470360316,9.522169102611075,50000,10000
KMeans,n_clusters,8,8,0,0.0,0.004273445811122656,150.21913335048822,9.203436312494313,50000,10000
KMeans,n_clusters,9,9,0,0.0,0.004312613513320684,141.53088196678183,8.940136691490439,50000,10000
KMeans,n_clusters,10,10,0,0.0,0.004348639864474535,133.7136825743232,8.7413860014133,50000,10000
KMeans,n_clusters,11,11,0,0.0,0.004256352316588163,126.81765429866246,8.578193101087793,50000,10000
KMeans,n_clusters,12,12,0,0.0,0.004296795465052128,120.96644414608474,8.409696489712903,50000,10000
KMeans,n_clusters,13,13,0,0.0,0.004292893223464489,115.72995594319046,8.323572337361096,50000,10000
KMeans,n_clusters,14,14,0,0.0,0.00425415113568306,111.1538681160662,8.178981760161571,50000,10000
KMeans,n_clusters,15,15,0,0.0,0.004303025081753731,107.06731717147396,8.075846932580093,50000,10000
