max_node,seed,algorithm,param_name,param_value,n_clusters,n_noise,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,n_fitted,n_metric_rows,eps,min_samples
50000,20260722,KMeans,n_clusters,4,4,0,0.0,0.0045271264389157,209.52509708530297,10.956763711244308,50000,10000,,
50000,20260722,KMeans,n_clusters,5,5,0,0.0,0.0044691166840493,189.1225093102908,10.326772763126892,50000,10000,,
50000,20260722,KMeans,n_clusters,6,6,0,0.0,0.0043816049583256,173.7938535160726,9.833861269098314,50000,10000,,
50000,20260722,KMeans,n_clusters,7,7,0,0.0,0.0043591661378741,160.8982625031263,9.518996467882818,50000,10000,,
50000,20260722,KMeans,n_clusters,8,8,0,0.0,0.004327711649239,150.0043490704691,9.21435807152893,50000,10000,,
50000,20260722,KMeans,n_clusters,9,9,0,0.0,0.0042834859341382,141.48940644033462,8.984247097202601,50000,10000,,
50000,20260722,KMeans,n_clusters,10,10,0,0.0,0.0042831571772694,133.83555768265668,8.754351501182924,50000,10000,,
50000,20260722,KMeans,n_clusters,11,11,0,0.0,0.0043823518790304,126.86764417320109,8.608912404091402,50000,10000,,
50000,20260722,KMeans,n_clusters,12,12,0,0.0,0.0043172445148229,121.12338342601132,8.393471862714277,50000,10000,,
50000,20260722,KMeans,n_clusters,13,13,0,0.0,0.0043266741558909,116.07170396465632,8.29810092942798,50000,10000,,
50000,20260722,KMeans,n_clusters,14,14,0,0.0,0.0043819001875817,111.2112684409422,8.163294517439546,50000,10000,,
50000,20260722,KMeans,n_clusters,15,15,0,0.0,0.0043265549466013,107.09483351096038,8.077079422780947,50000,10000,,
50000,20260723,KMeans,n_clusters,2,2,0,0.0,0.0055449190549552,275.7652428505505,13.46488664935362,50000,10000,,
50000,20260723,KMeans,n_clusters,3,3,0,0.0,0.0047693867236375,236.5211314725477,11.90251944984814,50000,10000,,
50000,20260723,KMeans,n_clusters,4,4,0,0.0,0.0044418717734515,208.74918981686255,10.988811164993871,50000,10000,,
50000,20260723,KMeans,n_clusters,5,5,0,0.0,0.0044032097794115,188.00221405148952,10.36087225101099,50000,10000,,
50000,20260723,KMeans,n_clusters,6,6,0,0.0,0.0043549453839659,173.0747165003153,9.888459392754134,50000,10000,,
50000,20260723,KMeans,n_clusters,7,7,0,0.0,0.0043938872404396,160.48618470360316,9.522169102611077,50000,10000,,
50000,20260723,KMeans,n_clusters,8,8,0,0.0,0.0042734458111226,150.21913335048822,9.203436312494311,50000,10000,,
50000,20260723,KMeans,n_clusters,9,9,0,0.0,0.0043126135133206,141.53088196678183,8.940136691490439,50000,10000,,
50000,20260723,KMeans,n_clusters,10,10,0,0.0,0.0043486398644745,133.7136825743232,8.7413860014133,50000,10000,,
50000,20260723,KMeans,n_clusters,11,11,0,0.0,0.0042563523165881,126.81765429866246,8.578193101087793,50000,10000,,
50000,20260723,KMeans,n_clusters,12,12,0,0.0,0.0042967954650521,120.96644414608474,8.409696489712903,50000,10000,,
50000,20260723,KMeans,n_clusters,13,13,0,0.0,0.0042928932234644,115.72995594319046,8.323572337361096,50000,10000,,
50000,20260723,KMeans,n_clusters,14,14,0,0.0,0.004254151135683,111.1538681160662,8.178981760161571,50000,10000,,
50000,20260723,KMeans,n_clusters,15,15,0,0.0,0.0043030250817537,107.06731717147396,8.075846932580093,50000,10000,,
50000,20260724,KMeans,n_clusters,2,2,0,0.0,0.0055558984167873,278.9922934643778,13.38664337799332,50000,10000,,
50000,20260724,KMeans,n_clusters,3,3,0,0.0,0.0047403802163898,236.83091214507823,11.89558929474867,50000,10000,,
50000,20260724,KMeans,n_clusters,4,4,0,0.0,0.0045070271007716,209.47428848398332,10.96683596855258,50000,10000,,
50000,20260724,KMeans,n_clusters,5,5,0,0.0,0.0044577396474778,189.4598334107608,10.326787572793808,50000,10000,,
50000,20260724,KMeans,n_clusters,6,6,0,0.0,0.0042630592361092,173.24193432602812,9.87000180420843,50000,10000,,
50000,20260724,KMeans,n_clusters,7,7,0,0.0,0.0043578683398664,160.92194698737976,9.483965684655487,50000,10000,,
50000,20260724,KMeans,n_clusters,8,8,0,0.0,0.0042982925660908,150.48265629518963,9.22604779473802,50000,10000,,
50000,20260724,KMeans,n_clusters,9,9,0,0.0,0.0043187905102968,141.5155576692517,9.010729368296364,50000,10000,,
50000,20260724,KMeans,n_clusters,10,10,0,0.0,0.0042390963062644,133.94170151308512,8.769744981287564,50000,10000,,
50000,20260724,KMeans,n_clusters,11,11,0,0.0,0.0043136831372976,127.26931727120244,8.604188146005777,50000,10000,,
50000,20260724,KMeans,n_clusters,12,12,0,0.0,0.0044111809693276,121.2789175637439,8.413996854401363,50000,10000,,
50000,20260724,KMeans,n_clusters,13,13,0,0.0,0.0043381196446716,116.04675425376716,8.266592287111656,50000,10000,,
50000,20260724,KMeans,n_clusters,14,14,0,0.0,0.0043030511587858,111.44314587834732,8.128563063561845,50000,10000,,
50000,20260724,KMeans,n_clusters,15,15,0,0.0,0.0042986464686691,107.0416305162908,8.072098012261593,50000,10000,,
100000,20260722,KMeans,n_clusters,2,2,0,0.0,0.005223361775279,537.0398474237732,13.645440090704463,100000,10000,,
100000,20260722,KMeans,n_clusters,3,3,0,0.0,0.0046200463548302,458.1657316030913,12.081540144544668,100000,10000,,
100000,20260722,KMeans,n_clusters,4,4,0,0.0,0.0043259775266051,404.9960169056912,11.13383297004245,100000,10000,,
100000,20260722,KMeans,n_clusters,5,5,0,0.0,0.0042720614001154,365.4173543312442,10.493397056712915,100000,10000,,
100000,20260722,KMeans,n_clusters,6,6,0,0.0,0.0041445442475378,334.5657564706788,10.036055716386665,100000,10000,,
100000,20260722,KMeans,n_clusters,7,7,0,0.0,0.004069373011589,309.91155903761137,9.682801679182418,100000,10000,,
100000,20260722,KMeans,n_clusters,8,8,0,0.0,0.0040408880449831,290.0217229707173,9.336120481966592,100000,10000,,
100000,20260722,KMeans,n_clusters,9,9,0,0.0,0.0039856322109699,272.3494305132776,9.113570457898858,100000,10000,,
100000,20260722,KMeans,n_clusters,10,10,0,0.0,0.0039992616511881,256.8711569594831,8.907738892019193,100000,10000,,
100000,20260722,KMeans,n_clusters,11,11,0,0.0,0.0039736665785312,244.15363635600693,8.723180323046751,100000,10000,,
100000,20260722,KMeans,n_clusters,12,12,0,0.0,0.0039323158562183,232.962319910934,8.55637352886025,100000,10000,,
100000,20260722,KMeans,n_clusters,13,13,0,0.0,0.0039726980030536,222.5413989259236,8.418527292374222,100000,10000,,
100000,20260722,KMeans,n_clusters,14,14,0,0.0,0.003944456577301,213.762552926802,8.28490914094743,100000,10000,,
100000,20260722,KMeans,n_clusters,15,15,0,0.0,0.0039939987473189,205.26974088781105,8.168054529412638,100000,10000,,
100000,20260723,KMeans,n_clusters,2,2,0,0.0,0.0053354613482952,536.6199842256094,13.650746243127331,100000,10000,,
100000,20260723,KMeans,n_clusters,3,3,0,0.0,0.0045247003436088,457.8922976783186,12.083516429631208,100000,10000,,
100000,20260723,KMeans,n_clusters,4,4,0,0.0,0.0042945640161633,404.1876257104528,11.13455435705415,100000,10000,,
100000,20260723,KMeans,n_clusters,5,5,0,0.0,0.0041136308573186,364.6944192144307,10.517326699359652,100000,10000,,
100000,20260723,KMeans,n_clusters,6,6,0,0.0,0.0041000372730195,334.4747007329941,10.023610916808211,100000,10000,,
100000,20260723,KMeans,n_clusters,7,7,0,0.0,0.0040857372805476,309.85923299301345,9.670369017826555,100000,10000,,
100000,20260723,KMeans,n_clusters,8,8,0,0.0,0.0040394449606537,289.3340819761636,9.371048181395512,100000,10000,,
100000,20260723,KMeans,n_clusters,9,9,0,0.0,0.0039897584356367,272.1724252402074,9.124932021295734,100000,10000,,
100000,20260723,KMeans,n_clusters,10,10,0,0.0,0.0040715560317039,257.0038848155691,8.918047527765754,100000,10000,,
100000,20260723,KMeans,n_clusters,11,11,0,0.0,0.0040433122776448,244.4885963148604,8.717472595472175,100000,10000,,
100000,20260723,KMeans,n_clusters,12,12,0,0.0,0.0040366202592849,233.451399789199,8.537207571125345,100000,10000,,
100000,20260723,KMeans,n_clusters,13,13,0,0.0,0.0039900140836834,222.5842137374001,8.447156045311978,100000,10000,,
100000,20260723,KMeans,n_clusters,14,14,0,0.0,0.0039529637433588,213.4370540553232,8.302648439924294,100000,10000,,
100000,20260723,KMeans,n_clusters,15,15,0,0.0,0.0039312858134508,205.29484764699825,8.18784337741014,100000,10000,,
100000,20260724,KMeans,n_clusters,2,2,0,0.0,0.005336508154869,536.641092549384,13.650505852295316,100000,10000,,
100000,20260724,KMeans,n_clusters,3,3,0,0.0,0.0046031302772462,458.1176330735907,12.079207225272588,100000,10000,,
100000,20260724,KMeans,n_clusters,4,4,0,0.0,0.0043459851294755,405.66820803456335,11.134973766854662,100000,10000,,
100000,20260724,KMeans,n_clusters,5,5,0,0.0,0.0041700894944369,365.72017942056107,10.490373000712022,100000,10000,,
100000,20260724,KMeans,n_clusters,6,6,0,0.0,0.0040223342366516,334.3214455975388,10.028994650750086,100000,10000,,
100000,20260724,KMeans,n_clusters,7,7,0,0.0,0.0040839933790266,309.7276449288151,9.650342324446555,100000,10000,,
100000,20260724,KMeans,n_clusters,8,8,0,0.0,0.0040154862217605,289.2993150135928,9.370709198000908,100000,10000,,
100000,20260724,KMeans,n_clusters,9,9,0,0.0,0.0040173311717808,272.3389105172401,9.08521355803012,100000,10000,,
100000,20260724,KMeans,n_clusters,10,10,0,0.0,0.0039962446317076,257.7554781057075,8.886304691150766,100000,10000,,
100000,20260724,KMeans,n_clusters,11,11,0,0.0,0.0041167982853949,244.5624177102288,8.718003701428533,100000,10000,,
100000,20260724,KMeans,n_clusters,12,12,0,0.0,0.003980825189501,232.9807696263521,8.574435961773117,100000,10000,,
100000,20260724,KMeans,n_clusters,13,13,0,0.0,0.0040857046842575,223.04000235935257,8.397328560534165,100000,10000,,
100000,20260724,KMeans,n_clusters,14,14,0,0.0,0.0039234762080013,213.6306647549504,8.297842995346192,100000,10000,,
100000,20260724,KMeans,n_clusters,15,15,0,0.0,0.0039172256365418,205.5472999149869,8.17228441834647,100000,10000,,
