quantity,source,scale_label,within_scale_mean,within_scale_std,cross_scale_mean,cross_scale_std,ratio_to_noise_floor
knn_overlap_k10,embedding,10000->100000,0.0005265756985055231,6.77011892274521e-05,0.0005633528265107213,9.314271786414328e-05,1.069842053307009
knn_overlap_k10,embedding,10000->50000,0.0005265756985055231,6.77011892274521e-05,0.0005352826510721247,1.0849840194990788e-05,1.0165350444225072
knn_overlap_k10,embedding,50000->100000,0.0005265756985055231,6.77011892274521e-05,0.0004914230019493177,4.6077352400442275e-05,0.9332428430404737
knn_overlap_k50,embedding,10000->100000,0.002587299379779937,6.450864493750177e-05,0.002514744922753023,5.446105038937517e-05,0.9719574558731254
knn_overlap_k50,embedding,10000->50000,0.002587299379779937,6.450864493750177e-05,0.002568224428631568,1.6678600579563354e-05,0.9926274665786874
knn_overlap_k50,embedding,50000->100000,0.002587299379779937,6.450864493750177e-05,0.002516201224319781,7.317342631452539e-05,0.9725203213761049
linear_cka,embedding,10000->100000,0.012707424482270378,0.00010934045785821802,0.01272429271593766,0.00012360793973118132,1.0013274313524991
linear_cka,embedding,10000->50000,0.012707424482270378,0.00010934045785821802,0.012640802030811313,0.0001176281466722484,0.9947572026454284
linear_cka,embedding,50000->100000,0.012707424482270378,0.00010934045785821802,0.01275719469617854,9.834452305523068e-05,1.003916624802894
distance_spearman,embedding,10000->100000,-8.186428124590525e-05,0.0007784462781120741,-2.4293199798311423e-05,0.0005035165079701484,0.2967496865371494
distance_spearman,embedding,10000->50000,-8.186428124590525e-05,0.0007784462781120741,0.00013909586684158242,0.0005457059477291595,-1.6991032563245014
distance_spearman,embedding,50000->100000,-8.186428124590525e-05,0.0007784462781120741,0.00022441946366470364,0.00042107078112929504,-2.7413599710304526
procrustes_residual,embedding,10000->100000,1.344612186128371,0.00036620080273248634,1.3445890694589535,0.00043192220673128346,1.0000171923674992
procrustes_residual,embedding,10000->50000,1.344612186128371,0.00036620080273248634,1.3447830545597685,0.00021119084960098021,0.9998729397795294
procrustes_residual,embedding,50000->100000,1.344612186128371,0.00036620080273248634,1.3444064306179755,0.0002166421288378144,1.0001530456160501
adjusted_rand_index,clustering,10000->100000,-1.2714752954920981e-05,7.360358525157108e-05,2.593036162585496e-05,0.0001262139431330383,-2.0393916985873606
adjusted_rand_index,clustering,10000->50000,-1.2714752954920981e-05,7.360358525157108e-05,-0.00013571383664946808,7.960045721178908e-05,10.673729731960137
adjusted_rand_index,clustering,50000->100000,-1.2714752954920981e-05,7.360358525157108e-05,-0.00011375152943990414,0.00011296446654630454,8.946420732136913
adjusted_mutual_info,clustering,10000->100000,-2.05534749093828e-05,0.00012234262687799453,4.633315352172772e-05,0.00021759288939372345,-2.2542734854326905
adjusted_mutual_info,clustering,10000->50000,-2.05534749093828e-05,0.00012234262687799453,-0.00023214647942455444,0.000134057301599712,11.294755774780352
adjusted_mutual_info,clustering,50000->100000,-2.05534749093828e-05,0.00012234262687799453,-0.00020070525320127922,0.0001873581301754327,9.765027767137124
