algorithm,param_name,param_value,n_clusters,n_noise,noise_ratio,silhouette_score,calinski_harabasz_score,davies_bouldin_score,n_fitted,n_metric_rows
KMeans,n_clusters,2,2,0,0.0,0.00533650815486908,536.641092549384,13.650505852295316,100000,10000
KMeans,n_clusters,3,3,0,0.0,0.004603130277246237,458.1176330735907,12.079207225272588,100000,10000
KMeans,n_clusters,4,4,0,0.0,0.004345985129475594,405.66820803456335,11.134973766854662,100000,10000
KMeans,n_clusters,5,5,0,0.0,0.004170089494436979,365.72017942056107,10.490373000712022,100000,10000
KMeans,n_clusters,6,6,0,0.0,0.004022334236651659,334.3214455975388,10.028994650750086,100000,10000
KMeans,n_clusters,7,7,0,0.0,0.004083993379026651,309.7276449288151,9.650342324446555,100000,10000
KMeans,n_clusters,8,8,0,0.0,0.004015486221760511,289.2993150135928,9.370709198000908,100000,10000
KMeans,n_clusters,9,9,0,0.0,0.004017331171780825,272.3389105172401,9.085213558030121,100000,10000
KMeans,n_clusters,10,10,0,0.0,0.003996244631707668,257.7554781057075,8.886304691150766,100000,10000
KMeans,n_clusters,11,11,0,0.0,0.004116798285394907,244.56241771022877,8.718003701428533,100000,10000
KMeans,n_clusters,12,12,0,0.0,0.003980825189501047,232.9807696263521,8.574435961773117,100000,10000
KMeans,n_clusters,13,13,0,0.0,0.004085704684257507,223.04000235935257,8.397328560534165,100000,10000
KMeans,n_clusters,14,14,0,0.0,0.003923476208001375,213.63066475495037,8.297842995346192,100000,10000
KMeans,n_clusters,15,15,0,0.0,0.003917225636541843,205.54729991498687,8.17228441834647,100000,10000
