node,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,pagerank
1,1.000010000100001e-05,1.000010000100001e-05,0.0,0.004504392782435214,0.0004293507963238526
2,1.000010000100001e-05,1.000010000100001e-05,3.593821876437529e-06,0.004556076752425858,0.0005021754490161988
3,1.000010000100001e-05,1.000010000100001e-05,1.367214844296886e-07,1.8750187501875017e-05,1.5439449146796333e-05
4,2.000020000200002e-05,1.000010000100001e-05,7.187643752875058e-06,0.004608960546104288,0.0005878515113560838
5,1.000010000100001e-05,1.000010000100001e-05,1.6601894537890758e-05,0.004306465330649239,0.0002242545907851866
6,1.000010000100001e-05,1.000010000100001e-05,1.5625312506250126e-07,1.8666853335200018e-05,1.5220917803654193e-05
7,1.000010000100001e-05,1.000010000100001e-05,1.2812756255125102e-05,0.001373028859845682,0.00013633159211156196
8,1.000010000100001e-05,1.000010000100001e-05,1.0781465629312587e-05,0.004662385938301983,0.00025929608029140667
9,1.000010000100001e-05,1.000010000100001e-05,0.0,1.8571614287571445e-05,1.4963822105840495e-05
10,2.000020000200002e-05,1.000010000100001e-05,1.992227344546891e-05,0.004356780565001242,0.0002608857915788071
11,1.000010000100001e-05,1.000010000100001e-05,2.2422323446468932e-05,0.0032002524064501845,0.00026107436676924765
12,1.000010000100001e-05,1.000010000100001e-05,1.7578476569531392e-07,1.8571614287571445e-05,1.4963822105840495e-05
13,1.000010000100001e-05,1.000010000100001e-05,1.5996413678273566e-05,0.0032656004242726253,0.00022046004014318507
14,1.000010000100001e-05,1.000010000100001e-05,1.3613553521070421e-05,0.0013995349329135813,0.00015744696836378496
15,1.000010000100001e-05,1.000010000100001e-05,0.0,1.846172307876925e-05,1.4661356579001134e-05
16,2.000020000200002e-05,1.000010000100001e-05,1.4375287505750116e-05,0.0047175508576692005,0.0003021110738887497
17,1.000010000100001e-05,1.000010000100001e-05,2.0625412508250167e-05,0.0032827053876056823,0.0002619934036651267
18,1.000010000100001e-05,1.000010000100001e-05,0.0,1.846172307876925e-05,1.4661356579001134e-05
19,1.000010000100001e-05,1.000010000100001e-05,1.2890882817656353e-05,0.0014405748278512652,0.00017186871680445728
20,1.000010000100001e-05,1.000010000100001e-05,2.3105930868617373e-05,0.004404658938393256,0.0002885418708981643
21,1.000010000100001e-05,1.000010000100001e-05,0.0,1.846172307876925e-05,1.4661356579001134e-05
22,2.000020000200002e-05,1.000010000100001e-05,2.402391797835957e-05,0.003262906455588068,0.0003042031736352668
23,1.000010000100001e-05,1.000010000100001e-05,2.226607032140643e-05,0.001709645477378648,0.00012691912157071727
24,1.000010000100001e-05,1.000010000100001e-05,1.9531640632812658e-07,1.846172307876925e-05,1.4661356579001134e-05
25,1.000010000100001e-05,1.000010000100001e-05,2.6953664073281468e-06,0.00036903262842391885,8.932026155206707e-05
26,1.000010000100001e-05,1.000010000100001e-05,1.7773792975859517e-05,0.003326055967919492,0.00025642161277593357
27,1.000010000100001e-05,1.000010000100001e-05,0.0,1.833351666850002e-05,1.4305514782719821e-05
28,2.000020000200002e-05,1.000010000100001e-05,1.441435078701574e-05,0.0014270963390225575,0.00018228858740924173
29,1.000010000100001e-05,1.000010000100001e-05,1.4062781255625113e-05,0.001865039774167921,0.00021573973056654384
30,1.000010000100001e-05,1.000010000100001e-05,0.0,1.833351666850002e-05,1.4305514782719821e-05
31,1.000010000100001e-05,1.000010000100001e-05,2.48442468849377e-05,0.0009247676492711607,0.0001348934513836378
32,1.000010000100001e-05,1.000010000100001e-05,1.367214844296886e-06,0.0006522949705536458,0.0001282270610761967
33,1.000010000100001e-05,1.000010000100001e-05,0.0,1.833351666850002e-05,1.4305514782719821e-05
34,2.000020000200002e-05,1.000010000100001e-05,2.234419688393768e-05,0.0033458982814601615,0.00030528439345277124
35,1.000010000100001e-05,1.000010000100001e-05,1.955117227344547e-05,0.001764534403951266,0.00015963134647289565
36,1.000010000100001e-05,1.000010000100001e-05,0.0,1.833351666850002e-05,1.4305514782719821e-05
37,1.000010000100001e-05,1.000010000100001e-05,1.5176084771695435e-05,0.0012981459561064793,0.00016238349592624643
38,1.000010000100001e-05,1.000010000100001e-05,1.3535426958539172e-05,0.0014716947057330058,0.0001992553503029263
39,1.000010000100001e-05,1.000010000100001e-05,0.0,1.833351666850002e-05,1.4305514782719821e-05
40,2.000020000200002e-05,1.000010000100001e-05,2.6406778135562713e-05,0.00445734027358283,0.0003365178849474773
41,1.000010000100001e-05,1.000010000100001e-05,1.7031590631812637e-05,0.0006179059690386883,0.00012115392720727729
42,1.000010000100001e-05,1.000010000100001e-05,0.0,1.833351666850002e-05,1.4305514782719821e-05
43,1.000010000100001e-05,1.000010000100001e-05,8.496263675273506e-06,0.0005638022874080233,9.76325661714423e-05
44,1.000010000100001e-05,1.000010000100001e-05,1.2812756255125102e-05,0.001959886342767188,0.00021861135444718128
45,1.000010000100001e-05,1.000010000100001e-05,0.0,1.833351666850002e-05,1.4305514782719821e-05
46,2.000020000200002e-05,1.000010000100001e-05,2.375047500950019e-05,0.0017256668889446432,0.00014637347430091868
47,1.000010000100001e-05,1.000010000100001e-05,5.890742814856297e-05,0.0017749728571763198,0.00021926481092399846
48,1.000010000100001e-05,1.000010000100001e-05,2.1484804696093924e-07,1.833351666850002e-05,1.4305514782719821e-05
49,1.000010000100001e-05,1.000010000100001e-05,1.4062781255625113e-05,0.0010413647336171314,0.00014291860610198356
50,1.000010000100001e-05,1.000010000100001e-05,2.8125562511250227e-06,0.0003800032809432924,0.00010213952063273131
51,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
52,2.000020000200002e-05,1.000010000100001e-05,1.955117227344547e-05,0.0033888028799011543,0.0002987293455463296
53,1.000010000100001e-05,1.000010000100001e-05,1.654329961599232e-05,0.0017730992274798477,0.00016919417183111534
54,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
55,1.000010000100001e-05,1.000010000100001e-05,2.1875437508750175e-05,0.0005386611814992781,0.00012716484113914535
56,1.000010000100001e-05,1.000010000100001e-05,1.521514805296106e-05,0.001450453038185257,0.00019655019953753922
57,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
58,2.000020000200002e-05,1.000010000100001e-05,1.484404688093762e-05,0.0019049104738667554,0.00025086830768122475
59,1.000010000100001e-05,1.000010000100001e-05,5.00010000200004e-06,0.0006641348852813678,0.00012265652640242432
60,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
61,1.000010000100001e-05,1.000010000100001e-05,2.5977082041640834e-05,0.0016008062426048388,8.233875056537114e-05
62,1.000010000100001e-05,1.000010000100001e-05,2.507862657253145e-05,0.0009470170396423203,0.0001557550380784677
63,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
64,2.000020000200002e-05,1.000010000100001e-05,1.6406578131562632e-06,0.000668689192291491,0.0001479122259519035
65,1.000010000100001e-05,1.000010000100001e-05,1.529327461549231e-05,0.001060846404228111,0.00016599666363188825
66,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
67,1.000010000100001e-05,1.000010000100001e-05,9.492377347546952e-06,0.0007542170170560154,0.00012766424786024802
68,1.000010000100001e-05,1.000010000100001e-05,1.6406578131562632e-06,0.0002894493804836992,9.514060311589154e-05
69,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
70,2.000020000200002e-05,1.000010000100001e-05,2.1055108602172046e-05,0.0017811283111893994,0.00018485844554830388
71,1.000010000100001e-05,1.000010000100001e-05,6.57435023700474e-05,0.0018136085308881255,0.0002129080069122819
72,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
73,1.000010000100001e-05,1.000010000100001e-05,2.02152480549611e-05,0.0004331461615877353,0.00011219967098546435
74,1.000010000100001e-05,1.000010000100001e-05,1.5898755475109502e-05,0.001324431698999138,0.00018809626695482113
75,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
76,2.000020000200002e-05,1.000010000100001e-05,1.4179971099421988e-05,0.0015042036308530956,0.00023147491913213337
77,1.000010000100001e-05,1.000010000100001e-05,2.578176563531271e-06,0.0004563163487723959,9.701338215755522e-05
78,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
79,1.000010000100001e-05,1.000010000100001e-05,1.367214844296886e-06,0.00015798582246265454,6.559637009738022e-05
80,1.000010000100001e-05,1.000010000100001e-05,1.3711211724234485e-05,0.0017845518522200626,0.00017250021569767968
81,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
82,2.000020000200002e-05,1.000010000100001e-05,1.718784375687514e-05,0.0006343097908831692,0.00013959089199068995
83,1.000010000100001e-05,1.000010000100001e-05,2.5781765635312707e-05,0.0007209915118657877,0.00016508041990716865
84,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
85,1.000010000100001e-05,1.000010000100001e-05,1.2304933598671975e-06,0.00033188475724283214,9.82443997786352e-05
86,1.000010000100001e-05,1.000010000100001e-05,8.789238284765695e-06,0.0005760239850711834,0.00011191870252700298
87,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
88,2.000020000200002e-05,1.000010000100001e-05,1.3613553521070421e-05,0.002001126335438285,0.000254246688731027
89,1.000010000100001e-05,1.000010000100001e-05,1.0547085941718835e-05,0.0007609766156223221,0.00014437114323435766
90,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
91,1.000010000100001e-05,1.000010000100001e-05,8.445481409628192e-05,0.002147337892647889,0.00016433390320111838
92,1.000010000100001e-05,1.000010000100001e-05,2.5234879697593954e-05,0.001739577691185518,0.00015459959286992452
93,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
94,2.000020000200002e-05,1.000010000100001e-05,5.9473845726914544e-05,0.0018160271981860314,0.00025501546106122244
95,1.000010000100001e-05,1.000010000100001e-05,1.8457400398007962e-05,0.0004680643508953284,0.00010426084728378851
96,1.000010000100001e-05,1.000010000100001e-05,0.0,1.81820000018182e-05,1.3886877375330363e-05
97,1.000010000100001e-05,1.000010000100001e-05,1.382840156803136e-05,0.00025111983744645165,7.25323622168094e-05
98,1.000010000100001e-05,1.000010000100001e-05,1.4648730474609492e-05,0.0010622407423541138,0.00016519639654741878
99,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
100,2.000020000200002e-05,1.000010000100001e-05,2.9297460949218986e-06,0.0003916759872869502,0.00011722100190408436
101,1.000010000100001e-05,1.000010000100001e-05,1.3183857427148544e-05,0.0011999681808384597,0.00018939639483034752
102,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
103,1.000010000100001e-05,1.000010000100001e-05,8.666188948778975e-05,0.0022148266986102574,0.00015266716377640568
104,1.000010000100001e-05,1.000010000100001e-05,7.031390627812557e-07,0.00024296309517864208,8.650974527534309e-05
105,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
106,2.000020000200002e-05,1.000010000100001e-05,1.8047235944718897e-05,0.0017896387579059033,0.00019610882913907187
107,1.000010000100001e-05,1.000010000100001e-05,6.445441408828177e-05,0.001796709081613256,0.0001998138232293633
108,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
109,1.000010000100001e-05,1.000010000100001e-05,1.7656603132062643e-05,0.0005496306258438281,0.00011950175296868509
110,1.000010000100001e-05,1.000010000100001e-05,2.2070753915078303e-05,0.0005526084413076303,0.00014666255543940507
111,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
112,2.000020000200002e-05,1.000010000100001e-05,1.601594531890638e-05,0.0014801609273543224,0.00022829238889709785
113,1.000010000100001e-05,1.000010000100001e-05,1.4062781255625113e-06,0.0002890842513508932,9.466058257993299e-05
114,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
115,1.000010000100001e-05,1.000010000100001e-05,0.0,0.00011705103614189322,5.850739257233081e-05
116,1.000010000100001e-05,1.000010000100001e-05,2.734429688593772e-06,0.0005115471486500488,0.00012032732859765792
117,1.000010000100001e-05,1.000010000100001e-05,0.0,1.800018000180002e-05,1.3394362778401895e-05
118,2.000020000200002e-05,1.000010000100001e-05,5.156353127062542e-06,0.000682203523698235,0.00014135865575014612
